,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Cleaned Gene Symbols
15843,10430968,0.66,0.30713005,1.082877,-4.59,0.1641596,A4galt,"alpha 1,4-galactosyltransferase",A4GALT
25223,10432986,0.71,0.51497371,-0.6778609999999999,-4.65,-0.1320218,Aaas,"achalasia, adrenocortical insufficiency, alacrimia",AAAS
9878,10525893,0.66,0.22099656,1.315487,-4.55,0.24907870000000001,Aacs,acetoacetyl-CoA synthetase,AACS
13782,10571891,0.66,0.27544544,1.161465,-4.58,0.26747350000000003,Aadat,aminoadipate aminotransferase,AADAT
6556,10586130,0.66,0.17734925,-1.464042,-4.52,-0.20845879999999997,Aagab,alpha- and gamma-adaptin binding protein,AAGAB
17891,10565612,0.66,0.34131740000000005,-1.004859,-4.6,-0.4634049,Aamdc,adipogenesis associated Mth938 domain containing,AAMDC
18757,10355554,0.66,0.35640554,-0.972299,-4.61,-0.417088,Aamp,angio-associated migratory protein,AAMP
32709,10477887,0.927,0.87236708,0.16531099999999999,-4.68,0.0244423,Aar2,AAR2 splicing factor homolog,AAR2
28565,10445380,0.79,0.64925121,-0.47047700000000003,-4.67,-0.071635,Aars2,"alanyl-tRNA synthetase 2, mitochondrial",AARS2
13700,10590654,0.66,0.27426489,-1.1645290000000001,-4.58,-0.6817036,Aasdhppt,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,AASDHPPT
10563,10543333,0.66,0.22989644,1.288309,-4.55,0.3131384,Aass,aminoadipate-semialdehyde synthase,AASS
29311,10433445,0.812,0.68457292,0.419717,-4.67,0.0741202,Abat,4-aminobutyrate aminotransferase,ABAT
7054,10512949,0.66,0.18465746,-1.437116,-4.53,-0.3824141,Abca1,"ATP-binding cassette, sub-family A (ABC1), member 1",ABCA1
24995,10470050,0.706,0.50786952,-0.689655,-4.64,-0.1538414,Abca2,"ATP-binding cassette, sub-family A (ABC1), member 2",ABCA2
31394,10392642,0.88,0.79479108,0.267964,-4.68,0.0426327,Abca5,"ATP-binding cassette, sub-family A (ABC1), member 5",ABCA5
14346,10364601,0.66,0.28394077,1.1397190000000001,-4.58,0.22028699999999998,Abca7,"ATP-binding cassette, sub-family A (ABC1), member 7",ABCA7
1186,10582626,0.66,0.07877527,-1.9832459999999998,-4.43,-0.37828059999999997,Abcb10,"ATP-binding cassette, sub-family B (MDR/TAP), member 10",ABCB10
28862,10519578,0.799,0.66351036,-0.449834,-4.67,-0.15295870000000003,Abcb4,"ATP-binding cassette, sub-family B (MDR/TAP), member 4",ABCB4
33678,10355742,0.958,0.92867899,0.092055,-4.69,0.0157268,Abcb6,"ATP-binding cassette, sub-family B (MDR/TAP), member 6",ABCB6
25423,10520154,0.7140000000000001,0.52252474,-0.6654329999999999,-4.65,-0.1584836,Abcb8,"ATP-binding cassette, sub-family B (MDR/TAP), member 8",ABCB8
25901,10533734,0.723,0.53869106,0.639185,-4.65,0.13071259999999998,Abcb9,"ATP-binding cassette, sub-family B (MDR/TAP), member 9",ABCB9
5305,10433735,0.66,0.15967007,-1.533435,-4.51,-0.3950469,Abcc1,"ATP-binding cassette, sub-family C (CFTR/MRP), member 1",ABCC1
13411,10451261,0.66,0.26951269,1.176971,-4.57,0.247011,Abcc10,"ATP-binding cassette, sub-family C (CFTR/MRP), member 10",ABCC10
9799,10438478,0.66,0.21995645,-1.3187229999999999,-4.55,-0.2642585,Abcc5,"ATP-binding cassette, sub-family C (CFTR/MRP), member 5",ABCC5
2363,10563447,0.66,0.11034541,1.771697,-4.47,0.41937299999999994,Abcc6,"ATP-binding cassette, sub-family C (CFTR/MRP), member 6",ABCC6
6206,10549108,0.66,0.17266804,-1.481802,-4.52,-0.9892853000000001,Abcc9,"ATP-binding cassette, sub-family C (CFTR/MRP), member 9",ABCC9
23244,10431697,0.682,0.45615549,-0.778814,-4.63,-0.17929,Abcd2,"ATP-binding cassette, sub-family D (ALD), member 2",ABCD2
12047,10501832,0.66,0.24947347,-1.231475,-4.56,-0.6942550000000001,Abcd3,"ATP-binding cassette, sub-family D (ALD), member 3",ABCD3
18799,10579874,0.66,0.35722059999999994,-0.97057,-4.61,-0.7672336999999999,Abce1,"ATP-binding cassette, sub-family E (OABP), member 1",ABCE1
26992,10528648,0.748,0.58068308,-0.573075,-4.66,-0.1874583,Abcf2,"ATP-binding cassette, sub-family F (GCN20), member 2",ABCF2
27139,10434396,0.7509999999999999,0.58661922,-0.563948,-4.66,-0.2032249,Abcf3,"ATP-binding cassette, sub-family F (GCN20), member 3",ABCF3
32180,10443730,0.9079999999999999,0.84058503,-0.207067,-4.68,-0.038395099999999995,Abcg1,"ATP-binding cassette, sub-family G (WHITE), member 1",ABCG1
8818,10592772,0.66,0.20724645,1.359348,-4.54,0.3709205,Abcg4,"ATP-binding cassette, sub-family G (WHITE), member 4",ABCG4
19422,10526250,0.66,0.36899448,-0.9459059999999999,-4.61,-0.3819409,Abhd11,abhydrolase domain containing 11,ABHD11
34311,10596481,0.983,0.97001619,-0.03865,-4.69,-0.006183600000000001,Abhd14a,abhydrolase domain containing 14A,ABHD14A
26569,10588505,0.737,0.56363441,-0.599576,-4.65,-0.09702369999999999,Abhd14b,abhydrolase domain containing 14b,ABHD14B
7756,10378893,0.66,0.19399233,1.404037,-4.53,0.2828047,Abhd15,abhydrolase domain containing 15,ABHD15
9802,10444685,0.66,0.22001096,-1.318553,-4.55,-0.21899410000000002,Abhd16a,abhydrolase domain containing 16A,ABHD16A
33430,10370914,0.95,0.91364377,0.111543,-4.68,0.0229214,Abhd17a,abhydrolase domain containing 17A,ABHD17A
18698,10461999,0.66,0.35542301,-0.9743879999999999,-4.61,-0.21817729999999996,Abhd17b,abhydrolase domain containing 17B,ABHD17B
5135,10491825,0.66,0.15739304,-1.5428600000000001,-4.51,-0.8661117,Abhd18,abhydrolase domain containing 18,ABHD18
15780,10554269,0.66,0.30599131,-1.085588,-4.59,-0.34098090000000003,Abhd2,abhydrolase domain containing 2,ABHD2
33043,10457475,0.938,0.8915083,0.140322,-4.68,0.0194208,Abhd3,abhydrolase domain containing 3,ABHD3
21685,10415021,0.669,0.41739544,-0.850102,-4.62,-0.48446009999999995,Abhd4,abhydrolase domain containing 4,ABHD4
14083,10590452,0.66,0.280001,-1.149738,-4.58,-0.4669768,Abhd5,abhydrolase domain containing 5,ABHD5
33308,10412607,0.946,0.90687918,-0.120325,-4.68,-0.0354203,Abhd6,abhydrolase domain containing 6,ABHD6
15788,10579500,0.66,0.30610965,-1.0853059999999999,-4.59,-0.1741728,Abhd8,abhydrolase domain containing 8,ABHD8
15242,10480423,0.66,0.2974467,-1.106188,-4.59,-0.5498811,Abi1,abl-interactor 1,ABI1
10590,10350823,0.66,0.23029451,-1.2871139999999999,-4.56,-0.2265788,Abl2,"v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene)",ABL2
33873,10521415,0.966,0.94151891,-0.075443,-4.69,-0.0115328,Ablim2,actin-binding LIM protein 2,ABLIM2
20861,10388545,0.664,0.39850257,-0.886508,-4.62,-0.2032183,Abr,active BCR-related gene,ABR
32522,10428370,0.92,0.86059168,0.18074,-4.68,0.1074479,Abra,actin-binding Rho activating protein,ABRA
12158,10408168,0.66,0.25083527,1.2276610000000001,-4.57,0.1918547,Abt1,activator of basal transcription 1,ABT1
34700,10546137,0.996,0.99437915,0.007244,-4.69,0.0015592,Abtb1,ankyrin repeat and BTB (POZ) domain containing 1,ABTB1
16078,10456699,0.66,0.31077505,-1.07425,-4.59,-1.1391364,Acaa2,acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase),ACAA2
24504,10533367,0.6990000000000001,0.49299373,0.7146859999999999,-4.64,0.1369309,Acad10,"acyl-Coenzyme A dehydrogenase family, member 10",ACAD10
16867,10491526,0.66,0.3231639,-1.045501,-4.6,-0.2595595,Acad9,"acyl-Coenzyme A dehydrogenase family, member 9",ACAD9
22765,10502951,0.677,0.44313726,-0.802285,-4.63,-1.0376056999999999,Acadm,"acyl-Coenzyme A dehydrogenase, medium chain",ACADM
6201,10532926,0.66,0.17259608,-1.4820790000000001,-4.52,-0.8031144,Acads,"acyl-Coenzyme A dehydrogenase, short chain",ACADS
20585,10558227,0.6629999999999999,0.39252685,-0.8982760000000001,-4.62,-0.7801819999999999,Acadsb,"acyl-Coenzyme A dehydrogenase, short/branched chain",ACADSB
20549,10387768,0.6629999999999999,0.39191335,-0.899491,-4.62,-0.6740385999999999,Acadvl,"acyl-Coenzyme A dehydrogenase, very long chain",ACADVL
34569,10511226,0.992,0.98617722,0.017814,-4.69,0.0033469999999999997,Acap3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",ACAP3
19348,10593591,0.66,0.36737054,-0.9492729999999999,-4.61,-1.0019775,Acat1,acetyl-Coenzyme A acetyltransferase 1,ACAT1
29090,10447891,0.8059999999999999,0.67413317,-0.434591,-4.67,-0.0826101,Acat2,acetyl-Coenzyme A acetyltransferase 2,ACAT2
13880,10352281,0.66,0.2769601,-1.157549,-4.58,-0.2740776,Acbd3,acyl-Coenzyme A binding domain containing 3,ACBD3
6692,10381683,0.66,0.17928621,1.456813,-4.52,0.24607070000000003,Acbd4,acyl-Coenzyme A binding domain containing 4,ACBD4
32705,10350777,0.927,0.87220238,-0.165527,-4.68,-0.0239882,Acbd6,acyl-Coenzyme A binding domain containing 6,ACBD6
20373,10581311,0.662,0.38834135,0.906594,-4.62,0.17114649999999998,Acd,adrenocortical dysplasia,ACD
13404,10505788,0.66,0.26934366,1.177417,-4.57,0.2539342,Acer2,alkaline ceramidase 2,ACER2
13518,10419825,0.66,0.27160119,-1.171481,-4.57,-0.28496659999999996,Acin1,apoptotic chromatin condensation inducer 1,ACIN1
7659,10348451,0.66,0.19268247,-1.408595,-4.53,-0.3247288,Ackr3,atypical chemokine receptor 3,ACKR3
32923,10391146,0.934,0.88459919,-0.14933,-4.68,-0.0233812,Acly,ATP citrate lyase,ACLY
9637,10503966,0.66,0.21790957,-1.325129,-4.55,-0.44162159999999995,Aco1,aconitase 1,ACO1
25329,10425611,0.7120000000000001,0.5190282,-0.6711739999999999,-4.65,-0.7353104,Aco2,"aconitase 2, mitochondrial",ACO2
16199,10397148,0.66,0.31265573,1.0698290000000001,-4.59,0.2049676,Acot1,acyl-CoA thioesterase 1,ACOT1
12524,10408331,0.66,0.25634070000000003,-1.212409,-4.57,-0.9411811999999999,Acot13,acyl-CoA thioesterase 13,ACOT13
19726,10397145,0.66,0.37480263,-0.93395,-4.61,-0.7897383000000001,Acot2,acyl-CoA thioesterase 2,ACOT2
4094,10510687,0.66,0.14114282,-1.613897,-4.5,-0.48733350000000003,Acot7,acyl-CoA thioesterase 7,ACOT7
34022,10489553,0.972,0.95150227,0.062544,-4.69,0.0091904,Acot8,acyl-CoA thioesterase 8,ACOT8
23325,10602739,0.682,0.45796391,-0.7755890000000001,-4.63,-0.26677059999999997,Acot9,acyl-CoA thioesterase 9,ACOT9
1808,10417544,0.66,0.09735184,1.85085,-4.45,0.3855338,Acox2,"acyl-Coenzyme A oxidase 2, branched chain",ACOX2
28857,10521391,0.799,0.66344042,-0.44993500000000003,-4.67,-0.0984492,Acox3,"acyl-Coenzyme A oxidase 3, pristanoyl",ACOX3
15501,10491883,0.66,0.30147508,1.0964200000000002,-4.59,0.1828878,Acp1,"acid phosphatase 1, soluble",ACP1
19920,10473847,0.66,0.37867714,-0.92605,-4.61,-0.37413309999999994,Acp2,"acid phosphatase 2, lysosomal",ACP2
2540,10494551,0.66,0.11420716,-1.749839,-4.47,-0.5142145,Acp6,"acid phosphatase 6, lysophosphatidic",ACP6
14723,10571657,0.66,0.28966089,-1.125368,-4.58,-1.2918213,Acsl1,acyl-CoA synthetase long-chain family member 1,ACSL1
21138,10607089,0.665,0.40429984,-0.87521,-4.62,-0.34417990000000004,Acsl4,acyl-CoA synthetase long-chain family member 4,ACSL4
30571,10477649,0.851,0.74865662,-0.330444,-4.68,-0.0924946,Acss2,acyl-CoA synthetase short-chain family member 2,ACSS2
6733,10372208,0.66,0.1798965,1.4545489999999999,-4.53,0.2715869,Acss3,acyl-CoA synthetase short-chain family member 3,ACSS3
8960,10582592,0.66,0.20897363,-1.353705,-4.54,-0.7766926,Acta1,"actin, alpha 1, skeletal muscle",ACTA1
