,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Cleaned Gene Symbols
22424,1369027_at,0.915,0.66,0.45399999999999996,-6.6636,0.0386,A4galt,"alpha 1,4-galactosyltransferase",A4GALT
12680,1376037_at,0.728,0.297,-1.1,-6.15212,-0.141,Aaas,aladin WD repeat nucleoporin,AAAS
23999,1368126_at,0.9329999999999999,0.72,0.369,-6.70103,0.0343,Aacs,acetoacetyl-CoA synthetase,AACS
8129,1387223_at,0.5770000000000001,0.151,-1.56,-5.59475,-0.113,Aadat,aminoadipate aminotransferase,AADAT
6686,1390827_at,0.511,0.11,-1.76,-5.31348,-0.147,Aagab,alpha- and gamma-adaptin binding protein,AAGAB
15874,1383104_at,0.805,0.41100000000000003,0.8590000000000001,-6.3872,0.136,Aamdc,"adipogenesis associated, Mth938 domain containing",AAMDC
1950,1395346_at,0.184,0.0115,-3.11,-3.1463900000000002,-0.218,Aamp,"angio-associated, migratory cell protein",AAMP
9577,1395383_at,0.633,0.195,1.39,-5.81363,0.13699999999999998,Aar2,AAR2 splicing factor homolog,AAR2
31071,1388394_at,1.0,0.9990000000000001,-0.00125,-6.77458,-9.63e-05,Aars,alanyl-tRNA synthetase,AARS
5933,1378476_at,0.47100000000000003,0.0899,-1.88,-5.13176,-0.242,Aars2,"alanyl-tRNA synthetase 2, mitochondrial",AARS2
3175,1379353_at,0.295,0.0301,-2.54,-4.0953599999999994,-0.151,Aasdhppt,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,AASDHPPT
27269,1377375_at,0.968,0.8490000000000001,0.196,-6.7537199999999995,0.0129,Aass,aminoadipate-semialdehyde synthase,AASS
26572,1369799_at,0.9620000000000001,0.8220000000000001,0.231,-6.74556,0.0141,Abat,4-aminobutyrate aminotransferase,ABAT
11860,1382431_at,0.7020000000000001,0.268,1.18,-6.07198,0.377,Abca1,ATP binding cassette subfamily A member 1,ABCA1
24206,1368081_at,0.934,0.727,-0.359,-6.7049,-0.0258,Abca2,ATP binding cassette subfamily A member 2,ABCA2
11030,1384469_at,0.6779999999999999,0.24100000000000002,-1.25,-5.98635,-0.0991,Abca5,ATP binding cassette subfamily A member 5,ABCA5
29297,1383229_at,0.9840000000000001,0.927,0.0936,-6.7698100000000005,0.0077599999999999995,Abca7,ATP binding cassette subfamily A member 7,ABCA7
646,1390781_at,0.0435,0.000906,-4.71,-0.5686399999999999,-0.42700000000000005,Abcb10,ATP binding cassette subfamily B member 10,ABCB10
1517,1369161_at,0.139,0.006809999999999999,3.42,-2.61879,0.263,Abcb4,ATP binding cassette subfamily B member 4,ABCB4
1970,1368159_at,0.18600000000000003,0.0118,-3.09,-3.1724200000000002,-0.21899999999999997,Abcb6,"ATP-binding cassette, subfamily B (MDR/TAP), member 6",ABCB6
5881,1378041_at,0.46799999999999997,0.0886,-1.89,-5.11826,-0.161,Abcb8,ATP binding cassette subfamily B member 8,ABCB8
18876,1368484_at,0.862,0.523,0.662,-6.54094,0.0585,Abcb9,ATP binding cassette subfamily B member 9,ABCB9
20879,1371005_at,0.8909999999999999,0.598,0.545,-6.615489999999999,0.0466,Abcc1,ATP binding cassette subfamily C member 1,ABCC1
21102,1390834_at,0.894,0.607,-0.532,-6.62292,-0.0448,Abcc10,ATP binding cassette subfamily C member 10,ABCC10
11156,1387030_at,0.682,0.245,1.24,-6.00011,0.129,Abcc5,ATP binding cassette subfamily C member 5,ABCC5
22170,1368452_at,0.9129999999999999,0.6509999999999999,0.467,-6.65707,0.0463,Abcc6,ATP binding cassette subfamily C member 6,ABCC6
619,1398265_at,0.0408,0.000813,-4.78,-0.45761,-0.6859999999999999,Abcc9,ATP binding cassette subfamily C member 9,ABCC9
19365,1368561_at,0.868,0.541,-0.634,-6.56025,-0.0464,Abcd2,ATP binding cassette subfamily D member 2,ABCD2
6180,1368057_at,0.484,0.0962,1.84,-5.193630000000001,0.145,Abcd3,ATP binding cassette subfamily D member 3,ABCD3
1523,1388810_at,0.141,0.0069,-3.41,-2.6334299999999997,-0.235,Abce1,ATP binding cassette subfamily E member 1,ABCE1
8335,1389608_at,0.5870000000000001,0.157,-1.53,-5.63169,-0.0958,Abcf2,ATP binding cassette subfamily F member 2,ABCF2
7149,1377280_at,0.537,0.12300000000000001,-1.69,-5.41819,-0.115,Abcf3,ATP binding cassette subfamily F member 3,ABCF3
16303,1373995_at,0.8140000000000001,0.42700000000000005,0.8290000000000001,-6.4129,0.0541,Abcg1,ATP binding cassette subfamily G member 1,ABCG1
24117,1376172_at,0.934,0.7240000000000001,0.363,-6.7033,0.0273,Abcg4,ATP binding cassette subfamily G member 4,ABCG4
26506,1393358_at,0.961,0.8190000000000001,-0.23399999999999999,-6.744730000000001,-0.0199,Abhd11,abhydrolase domain containing 11,ABHD11
2750,1396113_at,0.256,0.0227,-2.71,-3.8168599999999997,-0.266,Abhd14a,abhydrolase domain containing 14A,ABHD14A
1657,1388988_at,0.155,0.00824,-3.31,-2.81153,-0.201,Abhd14b,abhydrolase domain containing 14b,ABHD14B
18990,1394617_at,0.863,0.527,0.6559999999999999,-6.54554,0.0467,Abhd15,abhydrolase domain containing 15,ABHD15
10176,1371985_a_at,0.653,0.214,1.33,-5.88971,0.155,Abhd16a,abhydrolase domain containing 16A,ABHD16A
900,1398962_at,0.0741,0.00215,-4.14,-1.45022,-0.34,Abhd17a,abhydrolase domain containing 17A,ABHD17A
