,Gene.symbol,MeanFC,Cleaned Gene Symbols
7,A4GALT,0.0419646696,A4GALT
10,AAAS,-0.3800423749,AAAS
11,AACS,0.2672179868,AACS
17,AADAT,0.4263654304,AADAT
19,AAGAB,0.0059596476,AAGAB
21,AAMDC,-0.0213044432,AAMDC
22,AAMP,0.1084722046,AAMP
24,AAR2,-0.2795594289,AAR2
26,AARS2,-0.6531295267,AARS2
28,AASDHPPT,-0.1705070587,AASDHPPT
29,AASS,0.0210291209,AASS
33,ABAT,-0.9003557545,ABAT
34,ABCA1,0.2644659416,ABCA1
38,ABCA2,0.127611125,ABCA2
42,ABCA7,0.4941084173,ABCA7
44,ABCB10,0.3104862064,ABCB10
46,ABCB4,-1.3012721355,ABCB4
48,ABCB6,0.9574249533,ABCB6
50,ABCB9,0.0984200643,ABCB9
51,ABCC1,0.2819522217,ABCC1
52,ABCC10,-0.1373927871,ABCC10
59,ABCC5,0.1754407479,ABCC5
61,ABCC6,-1.9311371511,ABCC6
65,ABCC9,0.1856169497,ABCC9
67,ABCD2,-2.7086204813,ABCD2
68,ABCD3,-0.2337138883,ABCD3
70,ABCE1,-0.3260886691,ABCE1
72,ABCF2,0.1159040294,ABCF2
73,ABCF3,-0.1694033533,ABCF3
74,ABCG1,0.838285628,ABCG1
76,ABCG4,0.6690597398,ABCG4
81,ABHD11,-0.0097387447,ABHD11
85,ABHD14B,0.0558322394,ABHD14B
86,ABHD15,1.0611874303,ABHD15
87,ABHD16A,#VALUE!,ABHD16A
89,ABHD2,-1.8774256637,ABHD2
90,ABHD3,0.7448975262,ABHD3
91,ABHD4,0.5002748813,ABHD4
92,ABHD5,0.5583103383,ABHD5
93,ABHD8,-0.4369373299,ABHD8
94,ABI1,-0.1997965846,ABI1
99,ABL2,-0.4401543471,ABL2
101,ABLIM2,-3.0093478269,ABLIM2
105,ABR,-0.1002854047,ABR
106,ABRA,#VALUE!,ABRA
108,ABT1,-0.0903211425,ABT1
109,ABTB1,-0.4561794429,ABTB1
112,ACAA2,0.0982240777,ACAA2
115,ACAD10,-0.1809991794,ACAD10
117,ACAD9,-0.0629494479,ACAD9
119,ACADM,-0.1866218358,ACADM
120,ACADS,-0.4485713249,ACADS
121,ACADSB,-0.1782844068,ACADSB
122,ACADVL,0.1503571839,ACADVL
125,ACAP3,0.0229715911,ACAP3
126,ACAT2,0.0975907204,ACAT2
127,ACBD3,0.0879055281,ACBD3
128,ACBD4,0.0616235178,ACBD4
130,ACBD6,-0.3080046234,ACBD6
134,ACD,0.3670405341,ACD
138,ACER2,1.8887031212,ACER2
141,ACIN1,-0.2172621131,ACIN1
142,ACLY,0.4483206073,ACLY
145,ACO1,0.0686781867,ACO1
146,ACO2,-0.0788426654,ACO2
147,ACOT1,0.2595579829,ACOT1
150,ACOT13,-0.4068640245,ACOT13
151,ACOT2,0.0313868467,ACOT2
154,ACOT7,0.3572591247,ACOT7
155,ACOT8,-0.0354125499,ACOT8
156,ACOT9,-0.2774628326,ACOT9
158,ACOX2,-2.1532151119,ACOX2
159,ACOX3,-1.3688939648,ACOX3
161,ACP1,-0.1133200786,ACP1
162,ACP2,0.0959785089,ACP2
164,ACP6,-0.0015877464,ACP6
176,ACSL1,0.2034921354,ACSL1
177,ACSL3,0.1341117812,ACSL3
178,ACSL4,0.0245319999,ACSL4
188,ACSS2,-0.4802743224,ACSS2
189,ACSS3,-0.3931673061,ACSS3
190,ACTA1,-0.6924769717,ACTA1
199,ACTL6A,0.072870757,ACTL6A
205,ACTN1,-0.0902419688,ACTN1
207,ACTN2,-0.3194847502,ACTN2
208,ACTN3,-0.3196949594,ACTN3
209,ACTN4,-0.0572800225,ACTN4
210,ACTR10,-0.1650951701,ACTR10
211,ACTR1A,-0.1619152756,ACTR1A
213,ACTR2,-0.0237984081,ACTR2
219,ACTR5,-1.4489424789,ACTR5
220,ACTR6,-0.184424155,ACTR6
224,ACVR1,0.2225124055,ACVR1
227,ACVR2A,0.4884038754,ACVR2A
228,ACVR2B,0.0563348638,ACVR2B
233,ADA,1.3146431064,ADA
239,ADAM15,0.6150127192,ADAM15
240,ADAM17,0.2330698714,ADAM17
250,ADAM23,0.3605376797,ADAM23
263,ADAMTS1,0.0278965441,ADAMTS1
265,ADAMTS12,-0.2499489063,ADAMTS12
268,ADAMTS15,-0.248127318,ADAMTS15
272,ADAMTS19,-0.4648718447,ADAMTS19
279,ADAMTS7,0.9656456367,ADAMTS7
281,ADAMTS9,-0.5899922189,ADAMTS9
286,ADAMTSL4,0.1950673367,ADAMTSL4
290,ADAR,0.052168647,ADAR
291,ADARB1,0.0529033091,ADARB1
297,ADCK1,-0.03764332,ADCK1
298,ADCK2,0.1928964378,ADCK2
300,ADCK5,0.5929608771,ADCK5
303,ADCY2,-0.4738686449,ADCY2
304,ADCY3,0.6603398073,ADCY3
305,ADCY5,0.3218464217,ADCY5
306,ADCY6,0.0714373227,ADCY6
312,ADD1,-0.0732292889,ADD1
313,ADD2,0.1475616491,ADD2
314,ADD3,-0.0775169458,ADD3
323,ADI1,-0.0831543891,ADI1
327,ADIPOR1,0.0816707824,ADIPOR1
328,ADIPOR2,0.099662672,ADIPOR2
329,ADK,0.54902808,ADK
330,ADM,0.318353386,ADM
333,ADNP,-0.5226334217,ADNP
