'Erl','Lap','Sor','Sun','GSE12260.txt','GSE42177.txt','GSE81448.txt','GSE76314','GSE40289'
-0.063791,0.02018,-1.2003,-0.090985,0.0386,-2.2386,-0.068,0.041965,-0.19195
0.466,0.033694,1.2679,0.57754,-0.141,0.13527,0.538,-0.38004,1.5035
-0.32993,-0.16878,0.46541,-0.50354,0.0343,-0.48511,-0.11,0.26722,0.70071
0.6199,0.23905,-0.9189,-0.57382,-0.113,-0.091378,0.044,0.42637,-0.092629
-0.3112,-0.38286,-0.60398,-0.16443,-0.147,-0.19293,0.176,0.0059596,0.78512
0.20121,0.082173,0.25571,0.36642,0.136,0.24158,0.11,-0.021304,-0.051467
-0.060788,-0.11162,-0.30737,-0.43963,-0.218,0.033501,-0.006,0.10847,-0.13053
-0.20949,-0.19199,-0.074067,-0.20688,0.137,-0.4597,-0.03,-0.27956,0.50637
-0.57172,-0.55831,0.8293,-0.2706,-0.242,-0.15526,0.032,-0.65313,-0.66167
-0.10354,0.0043194,-0.18308,0.39885,-0.151,-0.18627,0.022,-0.17051,0.27997
-0.0072376,-0.11539,0.22298,0.29572,0.0129,1.3773,-0.172,0.021029,0.90108
-0.10121,0.0329,0.14491,-0.10955,0.0141,0.095158,-0.098,-0.90036,0.7239
-0.15131,-0.12092,-0.92814,-0.21612,0.377,0.01697,-0.018,0.26447,0.58478
-0.12461,0.32942,0.46939,0.042099,-0.0258,0.67519,0.034,0.12761,-0.13337
-0.20868,-0.29765,0.69665,-0.18999,0.00776,0.34238,-0.046,0.49411,0.37193
-0.083548,-0.31301,0.15922,-0.00079071,-0.427,0.39058,-0.076,0.31049,-0.27192
-0.51215,-0.081831,-0.73175,-1.1733,0.263,0.38706,-0.112,-1.3013,-0.34038
-0.35838,-0.60268,-1.9473,-1.8402,-0.219,0.17705,-0.106,0.95742,-0.87901
-0.05837,0.067439,0.57356,0.073943,0.0585,0.15042,0.038,0.09842,-1.4742
0.030229,-0.12685,1.6674,-0.19299,0.0466,0.056154,0.036,0.28195,0.0054582
0.095042,-0.085092,-0.23249,-1.0805,-0.0448,0.058841,0.068,-0.13739,-0.83922
0.20339,0.25879,0.19337,0.41529,0.129,0.036434,-0.206,0.17544,-0.60768
0.074559,0.22754,0.15822,-0.059237,0.0463,0.0075692,0.024,-1.9311,-0.062838
-0.072398,0.27105,0.42836,0.34503,-0.686,0.53467,-0.15,0.18562,-0.082588
-0.40006,-0.38212,0.19237,-0.87194,-0.0464,0.63136,-0.086,-2.7086,0.04163
0.051125,0.18959,-0.20299,-0.00094391,0.145,-0.021404,-0.384,-0.23371,-1.0388
-0.082315,-0.30213,-0.79998,-0.4671,-0.235,0.0224,0.246,-0.32609,0.17885
-0.18507,-0.21647,-0.60442,-0.85143,-0.0958,0.11046,0.12,0.1159,0.11107
-0.24553,-0.28341,-0.55727,-0.20538,-0.115,-0.80817,0.016,-0.1694,-0.050109
-0.25407,-0.05785,0.22874,0.059377,0.0541,-0.25151,0.04,0.83829,0.21219
0.12336,-0.11632,-1.0005,-1.0335,0.0273,-0.11975,0.01,0.66906,-0.7532
-0.016344,0.14272,-0.35357,-0.048022,-0.0199,0.27516,0.05,-0.0097387,-0.20403
-0.55514,-0.69879,-0.25549,-0.55983,-0.201,0.16833,-0.09,0.055832,-0.41672
0.1099,-0.70815,-1.5631,-1.5572,0.0467,-0.40432,0.074,1.0612,-0.039186
0.24559,-0.30351,1.1494,0.23865,0.155,0.31412,0.02,0,-0.24906
0.25644,0.46066,0.40483,-1.0559,-0.00686,-0.21758,-0.084,-1.8774,1.0459
0.0011688,-0.07849,-0.075832,-0.059122,-0.0216,0.44539,0.086,0.7449,0.13139
0.2923,0.29341,-0.80467,0.28011,-0.167,0.3839,0.25,0.50027,0.99598
-0.8156,-0.77224,-1.545,-3.1187,0.123,0.13575,0.116,0.55831,-0.19706
-0.1535,0.20591,0.0011176,0.10368,-0.173,-0.19944,-0.054,-0.43694,-0.83782
0.020183,0.11787,-0.38625,-0.1151,0.178,-0.16926,0.026,-0.1998,1.15
-0.11141,-0.01077,-0.72522,0.1244,0.138,-0.44343,-0.028,-0.44015,0.031723
-0.020978,0.12516,0.35599,-0.25981,-0.3,-0.38725,-0.038,-3.0093,-0.99506
0.28607,0.34278,0.61721,-0.41894,0.06,-0.30393,0.172,-0.10029,-0.28937
0.11872,0.34089,-0.11016,0.076277,2.22,-0.5979,0.082,0,-0.4286
-0.13252,0.020819,-0.48796,0.231,-0.428,-0.30921,0.056,-0.090321,-0.24925
-0.57006,-0.172,-0.55426,0.2375,-0.122,0.10994,0.036,-0.45618,0.4187
0.065379,0.14159,-0.13664,0.17142,0.09,0.28457,-0.138,0.098224,-0.27877
-0.40283,-0.35077,-1.2339,-0.95835,0.0815,0.41645,0.138,-0.181,0.25543
0.016051,0.11017,1.2898,0.70712,-0.324,0.57237,-0.044,-0.062949,-0.17596
-0.42069,-0.17437,-1.0553,-0.83245,-0.022,0.44848,0.094,-0.18662,0.042169
0.084375,0.18352,0.018157,0.13022,-0.097,0.41421,0.032,-0.44857,-0.14768
0.16862,-0.15068,1.8707,-0.12354,0.155,0.45997,0.26,-0.17828,0.28332
0.57409,0.052762,1.8494,0.085206,-0.0617,0.43722,0.066,0.15036,-0.11579
-0.19904,-0.233,0.19342,1.0108,0.115,-0.073064,-0.218,0.022972,-0.062637
-0.086934,-0.076281,0.48452,0.41907,0.0623,-0.12287,-0.138,0.097591,-0.16633
-0.11193,-0.018768,0.65786,-0.13863,-0.191,-0.11318,-0.03,0.087906,0.072956
0.25359,0.038622,0.41048,0.30683,0.281,0.52631,0.034,0.061624,-0.13153
0.076848,-0.11549,-0.33177,0.23422,-0.0501,-0.12996,-0.296,-0.308,-0.1355
-0.17355,-0.094653,-0.56523,-0.16226,-0.33,-0.22599,-0.134,0.36704,-0.7628
0.094325,0.080817,-0.032544,0.03716,-0.152,0.36089,0.418,1.8887,1.8932
