Protein Id	Day1_DMSO_R1	Day1_DMSO_R2	Day1_Erl_R1	Day1_Erl_R2	Day1_Lap_R1	Day1_Lap_R2	Day1_Sor_R1	Day1_Sor_R2	Day1_Sun_R1	Day1_Sun_R2	Day3_DMSO_R1	Day3_DMSO_R2	Day3_Erl_R1	Day3_Erl_R2	Day3_Lap_R1	Day3_Lap_R2	Day3_Sor_R1	Day3_Sor_R2	Day3_Sun_R1	Day3_Sun_R2	Day3_DMSO_R3	Day3_DMSO_R4	Day3_Erl_R3	Day3_Erl_R4	Day3_Lap_r3	Day3_Lap_R4	Day3_Sor_R3	Day3_Sor_R4	Day3_Sun_R3	Day3_Sun_R4q
sp|P55011|S12A2_HUMAN	9.56505	9.74132	11.2235	8.95222	10.174	10.1622	10.555	9.22742	9.70229	10.697	9.89743	9.3676	10.0167	10.4932	9.9067	9.6087	9.38695	10.3131	10.7652	10.2445	9.50726	10.2764	11.4369	10.3777	10.6595	9.67	8.63137	8.07173	10.8144	10.5548
sp|O60341|KDM1A_HUMAN	9.37099	10.5002	9.8372	10.1496	10.0483	10.4153	10.1571	9.2965	10.503	9.72196	10.1473	10.1913	9.4783	9.07572	9.71667	9.89857	10.1963	10.931	10.1911	10.1737	9.74755	9.24091	8.81446	9.7862	10.4484	9.37565	9.90032	10.3921	10.7845	11.5099
sp|Q8WXD9|CSKI1_HUMAN	10.0581	10.6755	9.84077	9.34811	9.72371	9.98774	10.166	10.221	10.7731	9.20595	9.13687	10.6757	10.4034	9.96057	10.5612	10.293	9.04238	8.39468	11.1903	10.342	9.96132	11.2684	10.6221	8.70189	10.7168	8.04717	11.1312	11.2101	10.135	8.20588
sp|Q8WXE0|CSKI2_HUMAN	9.87509	10.9997	9.82304	9.83687	9.15543	10.5326	9.90495	10.4529	9.8611	9.55842	10.2955	10.0628	10.2634	10.1807	10.4693	10.8618	9.7028	9.91722	9.32869	8.9178	9.61969	10.6518	10.2271	10.6181	11.2928	11.0306	9.29086	9.26359	8.79523	9.21023
sp|Q9UK45|LSM7_HUMAN	10.1073	10.9459	9.79729	10.9537	9.24309	9.69975	8.83326	9.42878	10.1589	10.8321	9.81066	9.59639	10.1516	9.36282	9.47714	9.52137	10.0624	10.9016	11.1087	10.0074	9.98237	10.8348	9.48842	9.51368	10.6673	9.00268	10.3749	9.48001	9.79156	10.8642
sp|Q9NYV4|CDK12_HUMAN	10.313	10.1721	9.89592	8.94637	9.38306	9.97131	10.1714	9.5278	11.193	10.4259	9.93074	9.97904	9.68163	9.4771	10.1362	9.39962	9.34494	9.862	11.1053	11.0835	9.49341	11.266	10.126	9.97158	10.4868	10.0071	9.26414	8.95079	10.0018	10.4324
sp|P24941|CDK2_HUMAN	9.8105	9.51741	10.8456	8.80996	11.0821	10.3711	9.79965	9.09489	10.3249	10.3439	10.4611	9.63826	9.42248	8.82885	7.75371	8.43335	10.768	10.5168	12.0789	12.0985	10.2872	9.47788	8.7769	9.22823	9.18755	8.43274	9.90109	9.85291	12.1418	12.7136
sp|P07947|YES_HUMAN	9.64582	9.96314	10.162	9.67609	10.1243	10.3553	9.71578	9.51214	10.7861	10.0594	9.19465	10.1492	10.2664	9.75902	10.0207	10.2116	9.9877	9.58845	10.4656	10.3567	9.15432	9.62445	9.47369	8.96522	10.5114	9.40315	10.2974	10.1221	11.088	11.3602
sp|P12931-2|SRC_HUMAN	10.4352	11.0127	9.56152	9.64097	9.89294	10.4625	9.82319	9.46413	9.24422	10.4626	9.24522	8.37773	10.1756	9.634	9.61644	10.6863	9.71619	10.2044	11.5983	10.7458	10.2774	9.40422	10.1488	9.56089	9.79636	9.66664	10.0217	10.0093	11.0535	10.0611
sp|P50750-2|CDK9_HUMAN	9.7351	10.7013	9.69511	9.76664	9.34624	10.3691	9.93427	9.5336	10.1801	10.7386	9.76475	9.562	11.0799	9.3996	9.40464	9.54828	9.58897	10.1837	10.5536	10.9144	9.85321	9.04745	10.0282	9.70424	10.2721	9.7236	9.90541	9.56099	11.2609	10.6438
sp|P07948-2|LYN_HUMAN	9.86662	9.94714	9.80313	10.0696	10.1498	9.65239	10.003	9.60503	10.8216	10.0816	10.8174	10.224	10.0355	9.92533	8.96849	9.38938	9.54398	9.37564	11.0014	10.7188	10.4188	10.0968	8.54759	9.24855	9.37994	9.81123	10.1582	10.9517	10.3775	11.0096
sp|Q00534|CDK6_HUMAN	9.00361	10.2384	9.48069	8.83717	9.21379	9.9839	9.57514	9.17271	12.1588	12.3358	7.8505	8.30223	10.4393	10.0766	9.05828	9.59609	7.83731	8.15798	13.8366	14.8451	7.98015	9.8067	8.57752	9.09128	9.375	9.39031	7.27834	8.56464	14.0341	15.902
sp|P06493|CDK1_HUMAN	9.72672	11.2691	9.38172	10.0837	9.99569	10.5575	9.1402	10.2763	9.48794	10.0811	10.8501	10.6398	7.3416	7.32217	6.63961	7.30378	11.6228	13.3381	13.4658	11.4763	12.586	9.71761	7.20855	9.20143	8.35435	7.5091	12.5391	11.2339	10.3964	11.2536
sp|Q00535|CDK5_HUMAN	9.6452	9.71939	10.1024	9.93235	10.2424	9.931	10.937	9.4152	10.4001	9.67501	9.83914	10.0989	9.61368	9.99824	9.72219	9.60646	10.7693	10.5918	9.72365	10.0366	10.1074	8.41858	9.20983	9.40721	10.0623	9.95539	10.3228	11.8431	10.3451	10.3284
sp|P06241|FYN_HUMAN	9.80655	10.2119	12.1235	10.4213	10.2294	11.2313	9.9756	8.31467	8.65396	9.03179	9.88838	9.2154	9.98054	9.2026	10.5551	9.83106	10.2704	10.2105	10.3551	10.491	9.6573	9.73055	11.1716	12.5574	8.29687	9.578	9.82298	10.2566	8.95176	9.97694
sp|Q14004|CDK13_HUMAN	9.68841	10.6536	10.2468	10.2124	9.48387	10.1395	10.282	9.42111	9.85148	10.0208	9.77927	10.0117	10.0686	9.70727	9.76028	9.93128	9.05485	10.0502	11.0795	10.5571	10.9372	9.55666	9.67279	9.48453	10.3075	9.72743	9.96228	9.28519	10.6141	10.4523
sp|Q00536-2|CDK16_HUMAN	10.48	11.3735	10.9465	10.5705	11.2545	10.7148	8.67239	8.00802	9.20898	8.77072	11.668	11.5939	10.2651	11.0655	11.1408	10.4444	7.79332	7.76875	9.20207	9.05814	11.7715	11.1108	11.058	10.3637	11.1381	10.6625	8.21193	7.50806	9.17766	8.9979
sp|Q07002-3|CDK18_HUMAN	8.69661	9.44911	9.35313	10.4922	10.5374	10.211	11.1365	10.7751	9.46203	9.88698	15.8774	15.4945	10.3205	10.0277	9.58936	7.79572	8.29757	7.68484	7.48646	7.42602	13.9856	11.3618	9.46291	9.06084	9.09406	8.86923	10.0218	11.1719	8.35639	8.61554
sp|O94921|CDK14_HUMAN	8.71182	11.3048	9.41528	10.8446	8.26514	12.3804	9.59	10.2441	8.78139	10.4625	9.28099	10.4838	11.317	10.2688	9.78382	9.9135	8.51327	7.70068	11.5661	11.1721	11.5574	10.9324	9.08824	10.178	9.29334	9.73379	7.88138	8.3641	11.0446	11.9267
sp|Q15139|KPCD1_HUMAN	10.0812	10.6615	10.2959	10.1147	9.8478	10.2056	10.2026	9.0192	9.80382	9.76772	10.7287	9.42371	9.72458	8.70224	10.2064	10.2919	9.38649	9.28559	11.4388	10.8116	9.19502	11.0753	10.073	10.1294	10.4169	10.8697	9.1553	8.31195	10.5949	10.1786
sp|P20794-2|MAK_HUMAN	10.791	10.9202	10.3832	9.83093	9.13221	9.49855	9.70612	9.56659	10.4201	9.75121	9.09622	9.04363	9.96865	10.0447	10.7336	11.0858	10.3105	10.1323	9.46157	10.123	9.82154	9.74842	9.48537	10.2718	9.55414	10.9395	9.6657	10.7778	9.38736	10.3483
sp|P36578|RL4_HUMAN	10.9134	9.78809	10.4805	10.0571	10.1338	10.2383	9.34441	10.5876	9.33961	9.11717	10.1061	10.3462	10.3265	10.4091	9.94623	9.49884	10.5207	10.9015	9.21574	8.72908	10.6259	10.7308	10.427	10.9865	10.2044	10.5639	9.88072	9.29751	8.64254	8.64065
sp|O76031|CLPX_HUMAN	9.70995	10.212	9.52353	9.93192	9.65711	10.2507	10.135	10.6668	9.76968	10.1433	8.952	9.23871	9.70115	9.77153	10.342	9.95329	11.2526	11.5683	9.62657	9.59378	8.79023	9.07681	9.32018	10.224	10.6895	10.3077	10.7455	10.8614	10.0652	9.91953
sp|Q9BTD8|RBM42_HUMAN	10.4142	9.88653	10.7132	9.66904	9.97435	10.0742	10.5296	9.01429	9.87467	9.85006	10.2623	9.51496	9.63267	10.3668	9.10066	10.3421	10.205	10.0958	10.3587	10.1209	9.73414	9.66827	9.62949	9.88358	11.1605	9.30821	10.1529	9.78289	10.3285	10.3514
sp|Q9P258|RCC2_HUMAN	10.0368	10.3045	9.71325	9.3035	9.67138	10.4053	10.1157	9.28155	10.6534	10.5146	9.34819	8.95976	9.09967	9.17659	9.28589	10.3651	10.1735	10.8098	11.2326	11.5488	9.20024	8.93664	8.85532	9.2262	10.1271	9.4387	10.2539	10.0011	11.7843	12.1766
sp|Q9H3U1|UN45A_HUMAN	9.40731	10.1239	9.9073	9.81619	10.3042	10.2432	10.3607	9.92024	9.73049	10.1864	10.216	10.2468	10.1004	9.88862	9.57843	10.1425	11.1289	10.3244	9.50873	8.86513	10.3469	10.5816	9.6245	10.1093	10.5473	10.1681	10.3743	10.6263	8.51464	9.10711
