protein_id	D311	U311	S311	E311	L311	D312	U312	S312	E312	L312	D121	U121	S121	E121	L121	D122	U122	S122	E122	L122	D321	U321	S321	E321	L321	D322	U322	S322	E322	L322
sp|A0AVT1|UBA6_HUMAN	9.97317	9.96432	9.54649	9.73603	9.7164	9.59727	10.3448	10.0239	10.6451	10.4525	10.3016	9.93745	9.57586	10.4775	9.54233	10.0091	10.3572	10.4018	9.74307	9.65418	9.43474	9.78701	9.38822	9.59478	9.87645	9.24136	10.6211	10.4261	11.0398	10.5904
sp|A0FGR8-6|ESYT2_HUMAN	10.5405	9.69102	9.62094	9.88986	10.9204	10.0884	9.92727	10.0331	9.68673	9.60181	9.45972	10.2773	9.81195	10.4878	11.8735	9.73041	10.1162	9.02579	9.73277	9.48465	10.3118	10.439	10.0954	10.2096	10.4426	10.0649	9.24635	9.36045	9.71894	10.1109
sp|A0JNW5|UH1BL_HUMAN	10.1382	10.76	9.33484	10.2359	9.64257	9.67852	11.2529	10.4372	9.33708	9.18295	10.1841	10.7134	9.32782	9.97714	9.8062	9.92274	10.2776	10.9098	10.3739	8.50728	8.72973	9.78349	10.4794	10.4344	10.0494	8.96743	10.9419	10.629	9.99706	9.98813
sp|A0MZ66-3|SHOT1_HUMAN	10.1819	10.9748	10.2379	11.5683	10.1814	8.99393	9.94449	9.28826	10.0933	8.53586	10.0476	10.6351	9.95565	10.7988	9.71707	9.49198	9.73752	9.68463	10.285	9.64659	9.99552	10.6698	9.97207	10.5309	9.20053	9.35406	10.362	9.71617	10.1442	10.0548
sp|A0PJW6|TM223_HUMAN	9.52599	8.82914	9.62004	9.83653	9.38046	9.57512	11.8004	12.5355	9.65938	9.2375	9.16083	9.83349	9.84686	9.7994	11.3239	9.75795	10.8126	8.92007	9.70837	10.8365	9.00829	9.90674	9.5853	9.36024	10.6447	10.9817	9.70838	10.4444	9.27919	11.0811
sp|A1A4S6|RHG10_HUMAN	9.56405	10.9718	9.89615	10.2526	10.1859	9.72465	9.7663	9.06924	10.5858	9.98358	10.1948	10.5078	9.48791	9.43719	10.549	10.6415	9.61645	9.32901	10.1135	10.1228	10.3199	10.2748	9.92579	10.0013	9.27439	9.73974	9.80995	9.93198	10.0609	10.6613
sp|A1IGU5|ARH37_HUMAN	10.4034	9.82648	8.47918	9.30231	8.71295	10.6322	9.80564	11.1624	10.5629	11.1126	8.59924	9.25939	9.08319	11.0788	10.9825	10.028	10.6683	9.65123	9.77808	10.8713	9.95285	11.8962	9.95938	10.6075	9.23861	9.80463	9.20958	7.98191	10.4499	10.8995
sp|A1L0T0|ILVBL_HUMAN	9.68823	8.88661	10.437	9.34114	10.2797	9.78012	10.6428	10.8679	10.1897	9.88682	9.49508	10.1819	9.66529	9.74012	10.9561	10.0926	9.95384	9.776	9.88546	10.2536	9.07135	9.5899	10.4014	9.5993	10.4774	9.99454	10.207	10.9146	9.75057	9.99394
sp|A1L4K1|FSD2_HUMAN	8.84511	9.67866	8.47829	9.86642	9.66976	11.1881	9.15614	11.7259	10.1481	11.2435	8.7538	9.39208	9.34782	9.59927	9.13759	9.93281	11.209	11.2305	10.7087	10.6884	9.40365	10.4032	10.2458	10.7034	10.2699	10.6928	8.90148	9.81409	9.59655	9.96912
sp|A1Z1Q3|MACD2_HUMAN	9.00762	9.69538	8.92809	9.0968	11.0676	9.83433	9.50763	9.38791	12.047	11.4277	9.50028	9.12566	10.0894	9.69655	9.69514	11.0933	9.44534	10.052	10.7745	10.5278	9.94623	10.754	9.6103	9.98081	9.4609	9.45702	9.24727	9.61678	11.3177	10.609
sp|A2A2Y4|FRMD3_HUMAN	9.62576	11.3017	10.3408	10.1233	9.89734	8.83665	9.3279	9.35732	10.1434	11.0459	9.20407	10.8485	10.9387	9.0093	12.1316	9.68552	10.0754	8.54919	9.74278	9.81495	9.96544	9.6702	9.52699	9.32036	7.50251	9.44405	12.8222	9.69534	9.71039	12.3425
sp|A2A2Y4-4|FRMD3_HUMAN	9.48625	10.6195	7.23524	10.4704	10.6019	10.0981	9.03911	7.98621	11.7125	12.7508	9.79043	11.3647	7.38754	8.73811	9.42313	9.82758	10.8752	9.95563	10.9053	11.7324	11.9497	9.3478	10.1607	9.57622	7.77795	9.82568	11.1014	9.65393	9.77273	10.8339
sp|A2RRP1|NBAS_HUMAN	9.24759	9.57364	10.1811	9.8245	10.652	9.77137	10.1882	10.6289	10.0157	9.91705	9.67174	10.1458	9.90504	9.85388	10.5274	10.0257	9.90033	9.79438	9.85513	10.3206	9.30509	9.62936	9.95267	9.61151	10.239	9.74545	10.2227	10.8349	10.2346	10.2248
sp|A2RTX5|SYTC2_HUMAN	10.0409	9.90674	9.4858	9.86858	10.0424	9.16026	10.6346	10.7409	9.94665	10.1732	9.64508	10.413	9.52287	9.95636	10.2962	10.4711	10.0788	9.90738	9.56606	10.1432	10.1579	10.3806	10.0111	10.0002	9.5554	9.12964	10.3622	10.5179	9.97278	9.91231
