Protein Id,Gene Symbol,DMSO_R3,DMSO_R4,Erl_R3,Erl_R4,Lap_r3,Lap_R4,Sor_R3,Sor_R4,Sun_R3,Sun_R4q
sp|P55011|S12A2_HUMAN,SLC12A2,9.50726,10.2764,11.4369,10.3777,10.6595,9.67,8.63137,8.07173,10.8144,10.5548
sp|O60341|KDM1A_HUMAN,KDM1A,9.74755,9.24091,8.81446,9.7862,10.4484,9.37565,9.90032,10.3921,10.7845,11.5099
sp|Q8WXD9|CSKI1_HUMAN,CASKIN1,9.96132,11.2684,10.6221,8.70189,10.7168,8.04717,11.1312,11.2101,10.135,8.20588
sp|Q8WXE0|CSKI2_HUMAN,CASKIN2,9.61969,10.6518,10.2271,10.6181,11.2928,11.0306,9.29086,9.26359,8.79523,9.21023
sp|Q9UK45|LSM7_HUMAN,LSM7,9.98237,10.8348,9.48842,9.51368,10.6673,9.00268,10.3749,9.48001,9.79156,10.8642
sp|Q9NYV4|CDK12_HUMAN,CDK12,9.49341,11.266,10.126,9.97158,10.4868,10.0071,9.26414,8.95079,10.0018,10.4324
sp|A8MW92|P20L1_HUMAN,PHF20L1,10.5725,10.4682,9.69896,9.63415,10.3537,9.43817,10.55,9.82681,10.1568,9.30071
sp|P24941|CDK2_HUMAN,CDK2,10.2872,9.47788,8.7769,9.22823,9.18755,8.43274,9.90109,9.85291,12.1418,12.7136
sp|P07947|YES_HUMAN,YES1,9.15432,9.62445,9.47369,8.96522,10.5114,9.40315,10.2974,10.1221,11.088,11.3602
sp|P12931-2|SRC_HUMAN,SRC,10.2774,9.40422,10.1488,9.56089,9.79636,9.66664,10.0217,10.0093,11.0535,10.0611
sp|P50750-2|CDK9_HUMAN,CDK9,9.85321,9.04745,10.0282,9.70424,10.2721,9.7236,9.90541,9.56099,11.2609,10.6438
sp|P07948-2|LYN_HUMAN,LYN,10.4188,10.0968,8.54759,9.24855,9.37994,9.81123,10.1582,10.9517,10.3775,11.0096
sp|Q00534|CDK6_HUMAN,CDK6,7.98015,9.8067,8.57752,9.09128,9.375,9.39031,7.27834,8.56464,14.0341,15.902
sp|P06493|CDK1_HUMAN,CDK1,12.586,9.71761,7.20855,9.20143,8.35435,7.5091,12.5391,11.2339,10.3964,11.2536
sp|Q00535|CDK5_HUMAN,CDK5,10.1074,8.41858,9.20983,9.40721,10.0623,9.95539,10.3228,11.8431,10.3451,10.3284
sp|P11802|CDK4_HUMAN,CDK4,9.62779,9.78019,10.9056,9.51586,11.7578,10.004,9.47233,8.94714,10.2507,9.73856
sp|P06241|FYN_HUMAN,FYN,9.6573,9.73055,11.1716,12.5574,8.29687,9.578,9.82298,10.2566,8.95176,9.97694
sp|Q14004|CDK13_HUMAN,CDK13,10.9372,9.55666,9.67279,9.48453,10.3075,9.72743,9.96228,9.28519,10.6141,10.4523
sp|P11362-21|FGFR1_HUMAN,FGFR1,10.0442,9.27911,10.3108,10.1177,9.14922,10.3512,9.48752,10.1496,10.7104,10.4004
sp|Q00536-2|CDK16_HUMAN,CDK16,11.7715,11.1108,11.058,10.3637,11.1381,10.6625,8.21193,7.50806,9.17766,8.9979
sp|Q07002-3|CDK18_HUMAN,CDK18,13.9856,11.3618,9.46291,9.06084,9.09406,8.86923,10.0218,11.1719,8.35639,8.61554
sp|O94921|CDK14_HUMAN,CDK14,11.5574,10.9324,9.08824,10.178,9.29334,9.73379,7.88138,8.3641,11.0446,11.9267
sp|Q00537|CDK17_HUMAN,CDK17,0,0,0,0,0,0,0,0,0,0
sp|Q15139|KPCD1_HUMAN,PRKD1,9.19502,11.0753,10.073,10.1294,10.4169,10.8697,9.1553,8.31195,10.5949,10.1786
sp|P20794-2|MAK_HUMAN,MAK,9.82154,9.74842,9.48537,10.2718,9.55414,10.9395,9.6657,10.7778,9.38736,10.3483
sp|Q9BZL6|KPCD2_HUMAN,PRKD2,9.46876,11.5397,10.0445,9.79435,9.78462,9.60228,9.03234,10.2703,10.5217,9.94149
sp|P36578|RL4_HUMAN,RPL4,10.6259,10.7308,10.427,10.9865,10.2044,10.5639,9.88072,9.29751,8.64254,8.64065
sp|O76031|CLPX_HUMAN,CLPX,8.79023,9.07681,9.32018,10.224,10.6895,10.3077,10.7455,10.8614,10.0652,9.91953
##sp|Q96M63|CC114_HUMAN,##CCDC114,0,0,0,0,0,0,0,0,0,0
sp|Q9BTD8|RBM42_HUMAN,RBM42,9.73414,9.66827,9.62949,9.88358,11.1605,9.30821,10.1529,9.78289,10.3285,10.3514
sp|Q9P258|RCC2_HUMAN,RCC2,9.20024,8.93664,8.85532,9.2262,10.1271,9.4387,10.2539,10.0011,11.7843,12.1766
sp|Q9H3U1|UN45A_HUMAN,UNC45A,10.3469,10.5816,9.6245,10.1093,10.5473,10.1681,10.3743,10.6263,8.51464,9.10711
sp|O60518|RNBP6_HUMAN,RANBP6,10.5013,9.93626,11.1731,10.0118,12.139,9.55544,9.5326,8.56488,9.58923,8.99631
sp|O00410-3|IPO5_HUMAN,IPO5,9.71242,9.87361,9.72092,9.74798,9.49999,9.67827,10.5636,10.7252,9.98251,10.4955
sp|P30044|PRDX5_HUMAN,PRDX5,9.41882,9.22815,9.38063,9.42939,9.96733,9.79402,10.657,10.4151,10.9417,10.7679
sp|Q53GG5-2|PDLI3_HUMAN,PDLIM3,11.8582,10.9519,14.478,11.1002,9.8132,10.1158,8.51134,8.18588,7.69204,7.29342
sp|Q9UPT8|ZC3H4_HUMAN,ZC3H4,9.31285,9.36925,9.00217,10.0492,9.2922,10.0657,8.90206,9.41242,11.8259,12.7682
sp|P52701|MSH6_HUMAN,MSH6,8.60034,8.95451,8.48683,8.74704,9.51529,8.86524,10.0841,10.0698,13.4693,13.2076
sp|Q9BQE4|SELS_HUMAN,VIMP,10.7203,10.4966,12.2038,9.2852,12.5673,9.29243,9.31985,8.67856,10.0272,7.40884
sp|Q8WWH5|TRUB1_HUMAN,TRUB1,9.28841,10.3122,10.146,9.83163,10.0054,9.34115,11.8123,11.4463,8.99741,8.81936
sp|Q96D53|ADCK4_HUMAN,ADCK4,8.0252,6.828,7.84225,8.48661,11.933,10.3811,12.5809,13.192,10.5917,10.1393
tr|I6L894|I6L894_HUMAN,ANK2,10.2406,10.2131,9.74372,9.5589,9.63442,9.62225,10.1012,10.2335,10.461,10.1913
sp|Q12955|ANK3_HUMAN,ANK3,9.52114,9.37816,9.03476,9.6812,9.54789,9.94468,9.46889,9.37626,12.1168,11.9302
sp|Q12955-4|ANK3_HUMAN,ANK3,0,0,0,0,0,0,0,0,0,0
sp|P16157-14|ANK1_HUMAN,ANK1,9.33992,6.1204,9.46943,9.42718,12.3038,9.04383,10.7903,10.4776,11.2891,11.7383
