Protein Id,Gene Symbol,DMSO_R3,DMSO_R4,Erl_R3,Erl_R4,Lap_r3,Lap_R4,Sor_R3,Sor_R4,Sun_R3,Sun_R4q,DMSO_R2,Erl_R2,Lap_R2,Sor_R2,Sun_R2
sp|P55011|S12A2_HUMAN,SLC12A2,9.50726,10.2764,11.4369,10.3777,10.6595,9.67,8.63137,8.07173,10.8144,10.5548,9.3676,10.4932,9.6087,10.3131,10.2445
sp|O60341|KDM1A_HUMAN,KDM1A,9.74755,9.24091,8.81446,9.7862,10.4484,9.37565,9.90032,10.3921,10.7845,11.5099,10.1913,9.07572,9.89857,10.931,10.1737
sp|Q8WXD9|CSKI1_HUMAN,CASKIN1,9.96132,11.2684,10.6221,8.70189,10.7168,8.04717,11.1312,11.2101,10.135,8.20588,10.6757,9.96057,10.293,8.39468,10.342
sp|Q8WXE0|CSKI2_HUMAN,CASKIN2,9.61969,10.6518,10.2271,10.6181,11.2928,11.0306,9.29086,9.26359,8.79523,9.21023,10.0628,10.1807,10.8618,9.91722,8.9178
sp|Q9UK45|LSM7_HUMAN,LSM7,9.98237,10.8348,9.48842,9.51368,10.6673,9.00268,10.3749,9.48001,9.79156,10.8642,9.59639,9.36282,9.52137,10.9016,10.0074
sp|Q9NYV4|CDK12_HUMAN,CDK12,9.49341,11.266,10.126,9.97158,10.4868,10.0071,9.26414,8.95079,10.0018,10.4324,9.97904,9.4771,9.39962,9.862,11.0835
sp|A8MW92|P20L1_HUMAN,PHF20L1,10.5725,10.4682,9.69896,9.63415,10.3537,9.43817,10.55,9.82681,10.1568,9.30071,9.18979,9.80719,10.6603,8.96169,10.709
sp|P24941|CDK2_HUMAN,CDK2,10.2872,9.47788,8.7769,9.22823,9.18755,8.43274,9.90109,9.85291,12.1418,12.7136,9.63826,8.82885,8.43335,10.5168,12.0985
sp|P07947|YES_HUMAN,YES1,9.15432,9.62445,9.47369,8.96522,10.5114,9.40315,10.2974,10.1221,11.088,11.3602,10.1492,9.75902,10.2116,9.58845,10.3567
sp|P12931-2|SRC_HUMAN,SRC,10.2774,9.40422,10.1488,9.56089,9.79636,9.66664,10.0217,10.0093,11.0535,10.0611,8.37773,9.634,10.6863,10.2044,10.7458
sp|P50750-2|CDK9_HUMAN,CDK9,9.85321,9.04745,10.0282,9.70424,10.2721,9.7236,9.90541,9.56099,11.2609,10.6438,9.562,9.3996,9.54828,10.1837,10.9144
sp|P07948-2|LYN_HUMAN,LYN,10.4188,10.0968,8.54759,9.24855,9.37994,9.81123,10.1582,10.9517,10.3775,11.0096,10.224,9.92533,9.38938,9.37564,10.7188
sp|Q00534|CDK6_HUMAN,CDK6,7.98015,9.8067,8.57752,9.09128,9.375,9.39031,7.27834,8.56464,14.0341,15.902,8.30223,10.0766,9.59609,8.15798,14.8451
