Protein Id	Gene Symbol	DMSO_R1	DMSO_R2	DMSO_R3	DMSO_R4	Erl_R1	Erl_R2	Erl_R3	Erl_R4	Lap_R1	Lap_R2	Lap_R3	Lap_R4	Sor_R1	Sor_R2	Sor_R3	Sor_R4	Sun_R1	Sun_R2	Sun_R3	Sun_R4
sp|P55011|S12A2_HUMAN	SLC12A2	9.89743	9.3676	9.50726	10.2764	10.0167	10.4932	11.4369	10.3777	9.9067	9.6087	10.6595	9.67	9.38695	10.3131	8.63137	8.07173	10.7652	10.2445	10.8144	10.5548
sp|O60341|KDM1A_HUMAN	KDM1A	10.1473	10.1913	9.74755	9.24091	9.4783	9.07572	8.81446	9.7862	9.71667	9.89857	10.4484	9.37565	10.1963	10.931	9.90032	10.3921	10.1911	10.1737	10.7845	11.5099
sp|Q8WXD9|CSKI1_HUMAN	CASKIN1	9.13687	10.6757	9.96132	11.2684	10.4034	9.96057	10.6221	8.70189	10.5612	10.293	10.7168	8.04717	9.04238	8.39468	11.1312	11.2101	11.1903	10.342	10.135	8.20588
sp|Q8WXE0|CSKI2_HUMAN	CASKIN2	10.2955	10.0628	9.61969	10.6518	10.2634	10.1807	10.2271	10.6181	10.4693	10.8618	11.2928	11.0306	9.7028	9.91722	9.29086	9.26359	9.32869	8.9178	8.79523	9.21023
sp|Q9UK45|LSM7_HUMAN	LSM7	9.81066	9.59639	9.98237	10.8348	10.1516	9.36282	9.48842	9.51368	9.47714	9.52137	10.6673	9.00268	10.0624	10.9016	10.3749	9.48001	11.1087	10.0074	9.79156	10.8642
sp|Q9NYV4|CDK12_HUMAN	CDK12	9.93074	9.97904	9.49341	11.266	9.68163	9.4771	10.126	9.97158	10.1362	9.39962	10.4868	10.0071	9.34494	9.862	9.26414	8.95079	11.1053	11.0835	10.0018	10.4324
sp|A8MW92|P20L1_HUMAN	PHF20L1	8.77847	9.18979	10.5725	10.4682	10.5809	9.80719	9.69896	9.63415	10.2636	10.6603	10.3537	9.43817	9.50412	8.96169	10.55	9.82681	11.545	10.709	10.1568	9.30071
sp|P24941|CDK2_HUMAN	CDK2	10.4611	9.63826	10.2872	9.47788	9.42248	8.82885	8.7769	9.22823	7.75371	8.43335	9.18755	8.43274	10.768	10.5168	9.90109	9.85291	12.0789	12.0985	12.1418	12.7136
sp|P07947|YES_HUMAN	YES1	9.19465	10.1492	9.15432	9.62445	10.2664	9.75902	9.47369	8.96522	10.0207	10.2116	10.5114	9.40315	9.9877	9.58845	10.2974	10.1221	10.4656	10.3567	11.088	11.3602
sp|P12931-2|SRC_HUMAN	SRC	9.24522	8.37773	10.2774	9.40422	10.1756	9.634	10.1488	9.56089	9.61644	10.6863	9.79636	9.66664	9.71619	10.2044	10.0217	10.0093	11.5983	10.7458	11.0535	10.0611
sp|P50750-2|CDK9_HUMAN	CDK9	9.76475	9.562	9.85321	9.04745	11.0799	9.3996	10.0282	9.70424	9.40464	9.54828	10.2721	9.7236	9.58897	10.1837	9.90541	9.56099	10.5536	10.9144	11.2609	10.6438
sp|P07948-2|LYN_HUMAN	LYN	10.8174	10.224	10.4188	10.0968	10.0355	9.92533	8.54759	9.24855	8.96849	9.38938	9.37994	9.81123	9.54398	9.37564	10.1582	10.9517	11.0014	10.7188	10.3775	11.0096
sp|Q00534|CDK6_HUMAN	CDK6	7.8505	8.30223	7.98015	9.8067	10.4393	10.0766	8.57752	9.09128	9.05828	9.59609	9.375	9.39031	7.83731	8.15798	7.27834	8.56464	13.8366	14.8451	14.0341	15.902
sp|P06493|CDK1_HUMAN	CDK1	10.8501	10.6398	12.586	9.71761	7.3416	7.32217	7.20855	9.20143	6.63961	7.30378	8.35435	7.5091	11.6228	13.3381	12.5391	11.2339	13.4658	11.4763	10.3964	11.2536
sp|Q00535|CDK5_HUMAN	CDK5	9.83914	10.0989	10.1074	8.41858	9.61368	9.99824	9.20983	9.40721	9.72219	9.60646	10.0623	9.95539	10.7693	10.5918	10.3228	11.8431	9.72365	10.0366	10.3451	10.3284
sp|P11802|CDK4_HUMAN	CDK4	9.27273	8.64712	9.62779	9.78019	9.24196	9.37846	10.9056	9.51586	10.9812	10.6474	11.7578	10.004	11.8729	11.6572	9.47233	8.94714	8.54129	9.75975	10.2507	9.73856
sp|P06241|FYN_HUMAN	FYN	9.88838	9.2154	9.6573	9.73055	9.98054	9.2026	11.1716	12.5574	10.5551	9.83106	8.29687	9.578	10.2704	10.2105	9.82298	10.2566	10.3551	10.491	8.95176	9.97694
sp|Q14004|CDK13_HUMAN	CDK13	9.77927	10.0117	10.9372	9.55666	10.0686	9.70727	9.67279	9.48453	9.76028	9.93128	10.3075	9.72743	9.05485	10.0502	9.96228	9.28519	11.0795	10.5571	10.6141	10.4523
sp|P11362-21|FGFR1_HUMAN	FGFR1	0	0	10.0442	9.27911	0	0	10.3108	10.1177	0	0	9.14922	10.3512	0	0	9.48752	10.1496	0	0	10.7104	10.4004
sp|Q00536-2|CDK16_HUMAN	CDK16	11.668	11.5939	11.7715	11.1108	10.2651	11.0655	11.058	10.3637	11.1408	10.4444	11.1381	10.6625	7.79332	7.76875	8.21193	7.50806	9.20207	9.05814	9.17766	8.9979
sp|Q07002-3|CDK18_HUMAN	CDK18	15.8774	15.4945	13.9856	11.3618	10.3205	10.0277	9.46291	9.06084	9.58936	7.79572	9.09406	8.86923	8.29757	7.68484	10.0218	11.1719	7.48646	7.42602	8.35639	8.61554
sp|O94921|CDK14_HUMAN	CDK14	9.28099	10.4838	11.5574	10.9324	11.317	10.2688	9.08824	10.178	9.78382	9.9135	9.29334	9.73379	8.51327	7.70068	7.88138	8.3641	11.5661	11.1721	11.0446	11.9267
sp|Q00537|CDK17_HUMAN	CDK17	10.371	9.63673	0	0	10.6387	10.9837	0	0	10.0692	9.57472	0	0	8.51039	8.59245	0	0	11.2421	10.3811	0	0
sp|Q15139|KPCD1_HUMAN	PRKD1	10.7287	9.42371	9.19502	11.0753	9.72458	8.70224	10.073	10.1294	10.2064	10.2919	10.4169	10.8697	9.38649	9.28559	9.1553	8.31195	11.4388	10.8116	10.5949	10.1786
sp|P20794-2|MAK_HUMAN	MAK	9.09622	9.04363	9.82154	9.74842	9.96865	10.0447	9.48537	10.2718	10.7336	11.0858	9.55414	10.9395	10.3105	10.1323	9.6657	10.7778	9.46157	10.123	9.38736	10.3483
sp|Q9BZL6|KPCD2_HUMAN	PRKD2	0	0	9.46876	11.5397	0	0	10.0445	9.79435	0	0	9.78462	9.60228	0	0	9.03234	10.2703	0	0	10.5217	9.94149
sp|P36578|RL4_HUMAN	RPL4	10.1061	10.3462	10.6259	10.7308	10.3265	10.4091	10.427	10.9865	9.94623	9.49884	10.2044	10.5639	10.5207	10.9015	9.88072	9.29751	9.21574	8.72908	8.64254	8.64065
sp|O76031|CLPX_HUMAN	CLPX	8.952	9.23871	8.79023	9.07681	9.70115	9.77153	9.32018	10.224	10.342	9.95329	10.6895	10.3077	11.2526	11.5683	10.7455	10.8614	9.62657	9.59378	10.0652	9.91953
