protein_id	DMSO_R1	DMSO_R2	DMSO_R3	DMSO_R4	Erl_R1	Erl_R2	Erl_R3	Erl_R4	Lap_R1	Lap_R2	Lap_r3	Lap_R4	Sor_R1	Sor_R2	Sor_R3	Sor_R4	Sun_R1	Sun_R2	Sun_R3	Sun_R4
sp|A0AVT1|UBA6_HUMAN	9.97317	9.59727	9.43474	9.24136	9.73603	10.6451	9.59478	11.0398	9.7164	10.4525	9.87645	10.5904	9.54649	10.0239	9.38822	10.4261	9.96432	10.3448	9.78701	10.6211
sp|A0FGR8-6|ESYT2_HUMAN	10.5405	10.0884	10.3118	10.0649	9.88986	9.68673	10.2096	9.71894	10.9204	9.60181	10.4426	10.1109	9.62094	10.0331	10.0954	9.36045	9.69102	9.92727	10.439	9.24635
sp|A0JNW5|UH1BL_HUMAN	10.1382	9.67852	8.72973	8.96743	10.2359	9.33708	10.4344	9.99706	9.64257	9.18295	10.0494	9.98813	9.33484	10.4372	10.4794	10.629	10.76	11.2529	9.78349	10.9419
sp|A0MZ66-3|SHOT1_HUMAN	10.1819	8.99393	9.99552	9.35406	11.5683	10.0933	10.5309	10.1442	10.1814	8.53586	9.20053	10.0548	10.2379	9.28826	9.97207	9.71617	10.9748	9.94449	10.6698	10.362
sp|A0PJW6|TM223_HUMAN	9.52599	9.57512	9.00829	10.9817	9.83653	9.65938	9.36024	9.27919	9.38046	9.2375	10.6447	11.0811	9.62004	12.5355	9.5853	10.4444	8.82914	11.8004	9.90674	9.70838
sp|A1A4S6|RHG10_HUMAN	9.56405	9.72465	10.3199	9.73974	10.2526	10.5858	10.0013	10.0609	10.1859	9.98358	9.27439	10.6613	9.89615	9.06924	9.92579	9.93198	10.9718	9.7663	10.2748	9.80995
sp|A1IGU5|ARH37_HUMAN	10.4034	10.6322	9.95285	9.80463	9.30231	10.5629	10.6075	10.4499	8.71295	11.1126	9.23861	10.8995	8.47918	11.1624	9.95938	7.98191	9.82648	9.80564	11.8962	9.20958
sp|A1L0T0|ILVBL_HUMAN	9.68823	9.78012	9.07135	9.99454	9.34114	10.1897	9.5993	9.75057	10.2797	9.88682	10.4774	9.99394	10.437	10.8679	10.4014	10.9146	8.88661	10.6428	9.5899	10.207
sp|A1L4K1|FSD2_HUMAN	8.84511	11.1881	9.40365	10.6928	9.86642	10.1481	10.7034	9.59655	9.66976	11.2435	10.2699	9.96912	8.47829	11.7259	10.2458	9.81409	9.67866	9.15614	10.4032	8.90148
sp|A1Z1Q3|MACD2_HUMAN	9.00762	9.83433	9.94623	9.45702	9.0968	12.047	9.98081	11.3177	11.0676	11.4277	9.4609	10.609	8.92809	9.38791	9.6103	9.61678	9.69538	9.50763	10.754	9.24727
sp|A2A2Y4|FRMD3_HUMAN	9.62576	8.83665	9.96544	9.44405	10.1233	10.1434	9.32036	9.71039	9.89734	11.0459	7.50251	12.3425	10.3408	9.35732	9.52699	9.69534	11.3017	9.3279	9.6702	12.8222
sp|A2A2Y4-4|FRMD3_HUMAN	9.48625	10.0981	11.9497	9.82568	10.4704	11.7125	9.57622	9.77273	10.6019	12.7508	7.77795	10.8339	7.23524	7.98621	10.1607	9.65393	10.6195	9.03911	9.3478	11.1014
sp|A2RRP1|NBAS_HUMAN	9.24759	9.77137	9.30509	9.74545	9.8245	10.0157	9.61151	10.2346	10.652	9.91705	10.239	10.2248	10.1811	10.6289	9.95267	10.8349	9.57364	10.1882	9.62936	10.2227
sp|A2RTX5|SYTC2_HUMAN	10.0409	9.16026	10.1579	9.12964	9.86858	9.94665	10.0002	9.97278	10.0424	10.1732	9.5554	9.91231	9.4858	10.7409	10.0111	10.5179	9.90674	10.6346	10.3806	10.3622
sp|A2RUC4|TYW5_HUMAN	9.43396	9.92508	9.49051	10.0211	10.0211	9.84763	9.7325	11.0914	9.43536	9.99141	9.33753	10.4806	9.58807	11.0976	10.0159	9.61201	10.0246	10.6353	9.79362	10.4248
sp|A2RUH7|MBPHL_HUMAN	10.3326	11.5247	12.81	9.95801	10.795	7.91795	10.2856	7.86529	10.4304	8.97186	11.3987	8.64837	9.09195	10.192	9.62016	7.69947	11.8018	8.94175	13.2859	8.42845
sp|A3KMH1|VWA8_HUMAN	9.5672	9.64882	9.39156	10.0254	9.65112	10.426	10.0156	10.103	10.0718	10.3189	10.1313	10.2585	9.98338	10.5864	10.1519	10.2854	9.17788	10.5686	9.76245	9.87509
sp|A3KN83|SBNO1_HUMAN	9.92923	10.0596	10.1319	9.81228	9.39146	10.538	9.14337	9.03066	9.79448	11.0143	9.92194	10.9562	10.1685	9.62181	9.81985	10.6878	9.6443	9.83823	10.7194	9.77652
sp|A4D126|ISPD_HUMAN	9.02945	10.8518	9.98094	10.1663	10.4841	9.75089	10.1264	9.815	8.92206	11.0775	10.0186	9.95367	9.36014	10.7609	9.82778	10.0432	10.4056	9.35758	10.4257	9.6424
sp|A4D1E9|GTPBA_HUMAN	8.48374	10.6422	9.09406	9.90893	9.44895	9.64532	9.21826	9.28713	10.3015	9.86283	9.12903	9.13731	9.10007	12.744	9.37041	13.0012	8.3243	11.4471	8.82161	13.0321
sp|A4D1P6|WDR91_HUMAN	9.20682	10.2109	8.7941	9.3587	9.54644	11.6521	9.45486	10.7627	9.53876	10.9357	10.4224	11.376	8.28692	10.7559	10.3842	9.73846	8.95351	10.913	10.1202	9.5885
sp|A4UGR9|XIRP2_HUMAN	11.9071	10.7046	13.4347	9.82507	12.3312	6.69319	13.4073	6.13322	10.4743	6.98138	11.4604	6.22987	14.0725	6.10538	11.4872	6.61129	14.0895	6.64079	11.9619	9.44907
sp|A4UGR9-6|XIRP2_HUMAN	12.0937	9.85873	11.6129	9.51663	11.5817	7.1793	10.3158	8.47215	9.86025	7.19926	10.8949	7.40402	12.7346	8.46342	9.24297	9.1427	11.8691	9.15997	11.5369	11.8611
sp|A5PLL7|TM189_HUMAN	9.25527	11.201	11.0698	10.3561	9.85282	8.15676	10.4434	8.41488	11.9981	9.84543	9.90437	8.93509	9.87869	10.5011	10.4879	10.0953	10.2382	9.07255	9.91033	10.3828
sp|A5PLN9-5|TPC13_HUMAN	9.52033	10.8121	9.41121	9.83442	10.5454	9.3588	10.0616	10.6129	10.1784	10.2217	10.5869	9.73903	9.31683	9.998	10.1159	10.5934	10.4161	9.63242	9.84581	9.19882
sp|A5YKK6|CNOT1_HUMAN	10.4159	9.77695	9.55745	9.85346	10.2649	9.63623	10.0918	10.1622	10.5186	9.41508	10.0097	9.95689	11.2598	9.00817	10.1682	10.491	10.1474	9.55694	9.53553	10.1738
sp|A6NCE7|MP3B2_HUMAN	9.77805	9.63964	7.7715	10.3519	11.6159	7.33499	10.6487	11.1962	10.8529	7.28325	10.6571	9.99776	11.7654	9.62091	9.38543	11.2477	10.3422	11.7667	6.44219	12.3016
sp|A6NDG6|PGP_HUMAN	9.53798	9.98012	10.1579	9.98773	9.60728	10.6556	9.919	9.60316	8.98621	10.5923	8.98384	9.80136	9.23595	11.0145	9.93132	10.6812	9.5384	10.8518	10.0668	10.8677
sp|A6NDU8|CE051_HUMAN	9.96761	10.042	9.68	10.3656	9.81907	9.50606	9.79881	9.5784	10.1315	9.73506	10.4905	9.978	9.29122	10.6106	9.75331	10.0093	10.4671	10.4298	10.0322	10.314
sp|A6NGB9|WIPF3_HUMAN	13.0054	9.67876	11.1413	9.57089	8.91843	7.75021	10.5149	9.46628	10.3742	8.28376	9.49215	8.41245	8.14625	9.95573	10.1379	9.59119	13.0531	10.8341	12.7591	8.91389
sp|A6NHL2|TBAL3_HUMAN	10.1257	8.05647	8.40878	8.69591	10.5614	9.54666	9.22929	10.4491	11.1964	9.86268	11.0726	11.9293	9.20543	10.3661	10.2624	10.6543	10.8691	10.21	9.64743	9.65092
sp|A6NHR9|SMHD1_HUMAN	9.39108	9.9644	9.8599	9.61554	9.59819	10.7797	9.31608	10.3114	9.8696	11.0694	9.91414	10.7747	8.77161	10.6864	9.95666	10.4891	9.68254	10.1871	9.95069	9.81183
sp|A6NI28|RHG42_HUMAN	9.2636	11.5713	9.50906	11.6059	9.89131	9.30402	19.914	4.62095	10.0413	10.0317	9.38541	7.39322	9.24681	8.32247	17.2264	4.21068	11.815	10.5125	10.1893	5.94505
sp|A6NIH7|U119B_HUMAN	9.76082	10.7514	9.1693	9.04143	10.132	9.44508	9.68433	9.94518	11.2036	9.51175	10.385	9.09503	8.29714	12.1709	10.5937	10.7203	7.05363	11.6737	10.7854	10.5803
sp|A6NIZ1|RP1BL_HUMAN	10.2156	8.90271	9.49336	10.1655	10.0545	11.2417	10.2188	10.1559	10.3457	9.70008	10.2254	10.2083	10.4268	9.05356	9.76521	9.98913	9.75865	10.3007	9.66913	10.1094
sp|A6NJ78|MET15_HUMAN	8.95301	9.8785	10.3597	10.9035	9.7871	10.9492	9.83537	9.65783	10.0672	10.8	9.38633	9.58604	9.0007	10.811	9.40908	10.6827	9.21074	10.5426	8.97739	11.2021
sp|A6NKD9|CC85C_HUMAN	10.8097	11.3782	10.8115	10.819	10.1835	10.2991	9.60454	9.48047	11.2976	10.1194	10.6573	10.223	8.31228	8.18157	9.94888	9.13058	10.7504	8.66811	10.5907	8.7339
sp|A6NNH0|GATL1_HUMAN	9.63454	9.73611	9.51704	10.5677	9.61862	13.6014	10.2283	11.3714	8.30235	14.0386	9.54271	12.6435	7.90907	9.3088	10.6238	7.79659	9.69995	8.15057	9.88229	7.82659
sp|A6ZKI3|F127A_HUMAN	10.3556	9.61364	10.4674	10.3256	9.55631	11.0828	9.22307	10.5673	11.518	10.2712	9.8252	10.233	10.0087	8.9927	9.83523	9.84109	8.85127	9.74978	10.1663	9.51583
sp|A7E2V4-2|ZSWM8_HUMAN	9.08641	9.76089	10.0654	9.77963	10.6084	10.2391	12.5707	7.9069	10.4884	10.6887	12.282	8.83796	11.6962	8.97839	11.0669	8.93679	10.251	8.20247	10.1292	8.42456
sp|A7E2Y1|MYH7B_HUMAN	10.9346	11.9144	11.0692	10.8999	11.5656	8.31541	10.9044	9.14349	10.1271	8.62978	11.64	9.58123	12.1306	6.90217	10.0895	7.63809	11.8999	7.58038	10.0834	8.95073
sp|A8MWD9|RUXGL_HUMAN	9.39738	10.5749	9.65263	10.2046	9.92005	10.453	10.1798	10.4025	9.79895	11.1947	9.34838	10.4903	8.88536	10.2498	10.5682	10.2176	9.75055	9.77534	9.91757	9.01837
sp|A8MWY0|K132L_HUMAN	8.99484	10.7432	8.64973	10.6408	9.94147	11.9729	9.36445	11.6662	9.88898	11.2122	10.2593	12.3304	9.52549	9.80673	9.67766	9.64613	8.19713	9.717	8.8928	8.87255
sp|A8MXV4|NUD19_HUMAN	9.81977	8.7789	9.62435	9.29667	8.98961	11.3155	9.9197	9.25711	8.93099	11.53	9.36894	11.1884	9.51091	11.2472	11.5336	9.67361	9.091	10.7862	10.0281	10.1095
sp|A9UHW6-3|MI4GD_HUMAN	9.55197	9.49843	11.0091	11.9141	10.9079	9.39534	9.26587	8.5838	10.8234	10.2183	9.06722	10.8112	9.76581	9.8979	9.76359	8.41329	10.5768	9.36419	10.0847	11.0872
sp|B0YJ81|HACD1_HUMAN	8.0786	10.7159	10.1707	10.5254	11.2937	9.28561	9.31504	10.0725	10.64	10.4772	10.7476	10.8313	9.85611	9.24286	10.5834	9.97679	11.9774	8.43262	9.00457	8.77271
sp|B2RTY4-4|MYO9A_HUMAN	9.44679	10.4831	9.92219	9.46738	10.0739	9.23221	11.9002	9.08091	10.1343	10.0618	10.1967	10.4399	10.6931	8.76073	10.6448	9.00594	10.9871	10.127	10.1586	9.18339
sp|B5ME19|EIFCL_HUMAN	10.4573	10.1511	10.0293	9.73207	10.6667	8.95751	10.8359	9.0156	9.92996	8.16428	10.4015	9.39669	11.0231	9.94133	11.0109	9.70118	11.2175	9.49125	9.92483	9.95209
sp|C9JLW8|F195B_HUMAN	10.3159	10.0808	9.69498	11.3768	11.1921	8.95544	8.67669	12.2262	11.6064	9.11371	10.7193	10.333	11.3116	7.90094	10.5763	9.01861	11.4512	8.07193	10.4299	6.94819
sp|C9JRZ8|AK1BF_HUMAN	10.3529	9.97448	9.2921	10.2661	10.1125	10.2606	9.80648	10.2105	9.90052	10.1513	9.01154	10.1261	10.1543	9.21973	10.2855	10.3803	10.5393	9.33445	9.7517	10.8697
