Erl1.24vDMSO.24_logFC,Erl3.6vDMSO.6_logFC,Erl3.24vDMSO.24_logFC,Erl3.72vDMSO.72_logFC,Erl3.168vDMSO.168_logFC,Erl10.24vDMSO.24_logFC
-0.6694018661,-0.6195781746,-0.6252885678,0.1641447675,-0.6457718161,-0.7318981002
-0.6517856247,-0.1470879381,-0.7906391102,0.010302943,0.2101931924,-0.1603906213
0.4920849686,0.1323336347,0.3798457748,-0.0001647508,0.1876540522,0.3208281142
-0.7916005284,-0.0571604175,-0.6705914746,0.9000023984,-0.8276528276,-1.1119030577
-0.2861998952,-0.1675569705,-0.2514735114,0.3302233813,-0.4212300163,-0.3607495272
0.1053698036,0.0317934983,0.0815178869,-0.878902826,0.2428028167,-0.2405924911
-0.3777046609,0.0398732822,-0.572650359,0.0977437258,-0.3079998982,-1.1255046464
-0.3976595258,-0.1919448836,-0.2184801714,-0.0301575666,-0.2374165351,-0.3330646222
0.3652451793,0.1580900538,0.1221753035,0.060095274,-0.2286900097,0.0409645239
0.3553265102,-0.3897367822,0.0616941934,0.2320683167,-0.120528918,0.4059083305
-0.321858594,0.3328849539,-0.5124177832,0.3347658935,0.3805824585,-0.2505991413
-0.3058023942,-0.0678613627,-0.4277414181,-0.045088933,0.0873854347,-0.4863848528
0.5270705086,0.0844011365,0.027864168,-0.0155060196,-0.2423902337,0.1844158389
-0.6925670655,-0.5618582014,-0.8980293074,0.4879683877,-0.7198897079,-0.9335918588
0.1672520735,0.2743079702,0.0464988521,0.5199342261,0.1565067227,0.2716222331
-0.1002401335,-0.1610776001,-0.1508367381,0.0607804417,0.1374575029,-0.1553995991
-0.5838508761,0.1888502266,0.0582815141,0.3663649455,-0.0599602409,-0.292385402
-0.2409968688,-0.3606595616,-0.2962547738,0.3310301244,0.451571331,-0.407479565
-0.0539542425,0.1220414077,-0.4223795979,1.22774942,0.4160342583,-0.3546773736
-0.341225925,0.5596849067,-0.3881209597,0.4037570322,-0.4859530048,-0.3890214398
-1.2896237951,-0.6157448729,-2.2972668423,-2.031875488,-1.7820226942,-1.7806478251
0.0533468725,0.0585199047,-0.0401806902,-0.2443381932,-0.0623412051,-0.0993995482
0.0733815693,-0.0204244083,0.0808037948,-0.3264930099,0.0732893417,-0.0421912666
-0.2472859319,0.2498002731,-0.2346551097,0.096515058,0.4772704703,-0.0190588325
-0.1135604704,-0.1142002757,-0.3240045621,0.7507530976,0.5702604852,-0.0164664712
-0.1551515023,0.0020884313,-0.3395016036,0.3348717745,0.03398027,-0.1275799911
-0.4937452623,-0.7144710854,-0.4644625259,0.3787319043,-0.5212724639,-0.5920416957
0.1027706597,-0.2339287973,0.2766578287,0.1520766311,0.2801555097,0.2915325956
-0.4466469449,-0.2930990782,-0.3051700543,0.3675386923,0.2134700115,-0.1807476678
-0.5937321228,-0.1396454387,-1.1992225838,0.2564861023,0.5033527533,-0.5364650555
0.213405069,-0.8509859593,0.0580991822,0.3268223413,0.4697796993,0.3285720215
-0.1022277972,-0.81692938,-0.1545512331,-0.4832440602,0.6040412322,0.1179010204
-0.0452133371,-0.2318810416,0.1427254522,0.0627808563,0.0283836831,0.0057572434
-0.1990779121,-0.2582303927,-0.0063604764,-0.1078558482,-0.1955577192,-0.0944789805
0.0752336643,-0.1535141291,0.0258106203,0.3812480558,0.4085729066,0.012043511
0.2099942451,-0.0802860602,0.2326756561,0.5775136896,1.1190995336,0.1306242715
-0.13220586,0.3038939522,-0.7894581235,1.042649643,0.2975506014,-0.7101196301
0.3055466144,0.0465760647,0.3164405639,-0.154764899,0.1345915991,0.3723039796
0.1401882148,-0.3493106868,-0.4493638999,1.3319866586,-0.6052584562,-0.128270694
-0.1747302292,0.4056568896,-0.1220961878,0.0811699942,0.1080702535,0.0421788817
0.0066114265,-0.1847871822,0.0773299807,0.1481132979,0.5303745435,-0.1390772649
-1.1159556839,-0.6256271011,-1.4729095793,-1.8573407437,-1.5463572929,-0.5887147418
-0.3847274671,-0.8662018318,-0.7744969331,-0.1340579189,-0.1773175974,-0.5814177514
