GO_Term_Id	GO_Term	pvalue	BH_pvalue	GO_Term_Gene_Total	Gene_Count_GO_Term	Gene_Ids
GO:0000278	mitotic cell cycle	4.34552219417869e-68	8.77317475782735e-64	1049	98	ENSG00000007968, ENSG00000142945, ENSG00000183856, ENSG00000143228, ENSG00000118193, ENSG00000117724, ENSG00000092853, ENSG00000134690, ENSG00000117399, ENSG00000123080, ENSG00000085840, ENSG00000097046, ENSG00000066279, ENSG00000117650, ENSG00000178295, ENSG00000138092, ENSG00000115163, ENSG00000169679, ENSG00000171848, ENSG00000121152, ENSG00000163535, ENSG00000163808, ENSG00000114315, ENSG00000129810, ENSG00000109805, ENSG00000138778, ENSG00000145386, ENSG00000142731, ENSG00000151725, ENSG00000158402, ENSG00000134057, ENSG00000153044, ENSG00000164611, ENSG00000040275, ENSG00000112742, ENSG00000237649, ENSG00000203760, ENSG00000112029, ENSG00000011426, ENSG00000196584, ENSG00000171320, ENSG00000136982, ENSG00000184661, ENSG00000168078, ENSG00000147536, ENSG00000175305, ENSG00000165304, ENSG00000090889, ENSG00000003096, ENSG00000138160, ENSG00000065328, ENSG00000138182, ENSG00000119969, ENSG00000122952, ENSG00000170312, ENSG00000138180, ENSG00000121621, ENSG00000146670, ENSG00000122966, ENSG00000111206, ENSG00000111665, ENSG00000135476, ENSG00000139618, ENSG00000165480, ENSG00000100479, ENSG00000126787, ENSG00000137812, ENSG00000156970, ENSG00000197299, ENSG00000104147, ENSG00000137804, ENSG00000157456, ENSG00000140525, ENSG00000140534, ENSG00000198901, ENSG00000162063, ENSG00000131153, ENSG00000127564, ENSG00000166851, ENSG00000177602, ENSG00000129195, ENSG00000178999, ENSG00000076382, ENSG00000094804, ENSG00000131747, ENSG00000186185, ENSG00000080986, ENSG00000154839, ENSG00000161888, ENSG00000101003, ENSG00000101057, ENSG00000088325, ENSG00000101447, ENSG00000175063, ENSG00000100162, ENSG00000093009, ENSG00000100297, ENSG00000075218
GO:0007049	cell cycle	6.10697368956737e-64	6.16468459093378e-60	1748	114	ENSG00000007968, ENSG00000142945, ENSG00000183856, ENSG00000143228, ENSG00000118193, ENSG00000117724, ENSG00000127423, ENSG00000092853, ENSG00000134690, ENSG00000117399, ENSG00000085999, ENSG00000123080, ENSG00000085840, ENSG00000097046, ENSG00000066279, ENSG00000117650, ENSG00000143476, ENSG00000174371, ENSG00000178295, ENSG00000138092, ENSG00000115163, ENSG00000169679, ENSG00000123485, ENSG00000171848, ENSG00000121152, ENSG00000163535, ENSG00000123999, ENSG00000144554, ENSG00000163808, ENSG00000114315, ENSG00000129810, ENSG00000109805, ENSG00000138778, ENSG00000121211, ENSG00000013810, ENSG00000145386, ENSG00000142731, ENSG00000151725, ENSG00000071539, ENSG00000158402, ENSG00000134057, ENSG00000153044, ENSG00000164611, ENSG00000040275, ENSG00000112742, ENSG00000237649, ENSG00000203760, ENSG00000112029, ENSG00000011426, ENSG00000196584, ENSG00000171320, ENSG00000136982, ENSG00000184661, ENSG00000168078, ENSG00000147536, ENSG00000175305, ENSG00000165304, ENSG00000090889, ENSG00000003096, ENSG00000138160, ENSG00000065328, ENSG00000138182, ENSG00000119969, ENSG00000122952, ENSG00000170312, ENSG00000138180, ENSG00000148773, ENSG00000121621, ENSG00000146670, ENSG00000165490, ENSG00000122966, ENSG00000111206, ENSG00000111665, ENSG00000135476, ENSG00000139618, ENSG00000165480, ENSG00000100479, ENSG00000126787, ENSG00000137812, ENSG00000156970, ENSG00000197299, ENSG00000051180, ENSG00000104147, ENSG00000137804, ENSG00000157456, ENSG00000166803, ENSG00000140525, ENSG00000140534, ENSG00000198901, ENSG00000162063, ENSG00000131153, ENSG00000127564, ENSG00000166851, ENSG00000136492, ENSG00000068489, ENSG00000177602, ENSG00000129195, ENSG00000178999, ENSG00000076382, ENSG00000094804, ENSG00000131747, ENSG00000186185, ENSG00000080986, ENSG00000154839, ENSG00000161888, ENSG00000101003, ENSG00000101057, ENSG00000088325, ENSG00000101447, ENSG00000175063, ENSG00000100162, ENSG00000093009, ENSG00000100297, ENSG00000075218
GO:1903047	mitotic cell cycle process	2.933175485046e-60	1.97392932891979e-56	883	86	ENSG00000142945, ENSG00000183856, ENSG00000143228, ENSG00000118193, ENSG00000117724, ENSG00000092853, ENSG00000134690, ENSG00000117399, ENSG00000123080, ENSG00000085840, ENSG00000097046, ENSG00000066279, ENSG00000117650, ENSG00000178295, ENSG00000115163, ENSG00000169679, ENSG00000171848, ENSG00000121152, ENSG00000163808, ENSG00000129810, ENSG00000109805, ENSG00000138778, ENSG00000145386, ENSG00000142731, ENSG00000158402, ENSG00000134057, ENSG00000164611, ENSG00000040275, ENSG00000112742, ENSG00000237649, ENSG00000203760, ENSG00000112029, ENSG00000011426, ENSG00000136982, ENSG00000184661, ENSG00000168078, ENSG00000175305, ENSG00000165304, ENSG00000090889, ENSG00000003096, ENSG00000138160, ENSG00000065328, ENSG00000138182, ENSG00000119969, ENSG00000122952, ENSG00000170312, ENSG00000138180, ENSG00000121621, ENSG00000146670, ENSG00000122966, ENSG00000111206, ENSG00000111665, ENSG00000135476, ENSG00000165480, ENSG00000100479, ENSG00000126787, ENSG00000137812, ENSG00000156970, ENSG00000197299, ENSG00000104147, ENSG00000137804, ENSG00000157456, ENSG00000140525, ENSG00000140534, ENSG00000198901, ENSG00000162063, ENSG00000131153, ENSG00000127564, ENSG00000166851, ENSG00000177602, ENSG00000129195, ENSG00000178999, ENSG00000076382, ENSG00000094804, ENSG00000131747, ENSG00000186185, ENSG00000080986, ENSG00000154839, ENSG00000161888, ENSG00000101057, ENSG00000088325, ENSG00000101447, ENSG00000175063, ENSG00000093009, ENSG00000100297, ENSG00000075218
GO:0022402	cell cycle process	6.45179482813546e-59	3.25638214463067e-55	1341	99	ENSG00000142945, ENSG00000183856, ENSG00000143228, ENSG00000118193, ENSG00000117724, ENSG00000127423, ENSG00000092853, ENSG00000134690, ENSG00000117399, ENSG00000085999, ENSG00000123080, ENSG00000085840, ENSG00000097046, ENSG00000066279, ENSG00000117650, ENSG00000143476, ENSG00000178295, ENSG00000115163, ENSG00000169679, ENSG00000171848, ENSG00000121152, ENSG00000123999, ENSG00000144554, ENSG00000163808, ENSG00000129810, ENSG00000109805, ENSG00000138778, ENSG00000013810, ENSG00000145386, ENSG00000142731, ENSG00000071539, ENSG00000158402, ENSG00000134057, ENSG00000164611, ENSG00000040275, ENSG00000112742, ENSG00000237649, ENSG00000203760, ENSG00000112029, ENSG00000011426, ENSG00000196584, ENSG00000136982, ENSG00000184661, ENSG00000168078, ENSG00000175305, ENSG00000165304, ENSG00000090889, ENSG00000003096, ENSG00000138160, ENSG00000065328, ENSG00000138182, ENSG00000119969, ENSG00000122952, ENSG00000170312, ENSG00000138180, ENSG00000148773, ENSG00000121621, ENSG00000146670, ENSG00000165490, ENSG00000122966, ENSG00000111206, ENSG00000111665, ENSG00000135476, ENSG00000139618, ENSG00000165480, ENSG00000100479, ENSG00000126787, ENSG00000137812, ENSG00000156970, ENSG00000197299, ENSG00000051180, ENSG00000104147, ENSG00000137804, ENSG00000157456, ENSG00000140525, ENSG00000140534, ENSG00000198901, ENSG00000162063, ENSG00000131153, ENSG00000127564, ENSG00000166851, ENSG00000136492, ENSG00000177602, ENSG00000129195, ENSG00000178999, ENSG00000076382, ENSG00000094804, ENSG00000131747, ENSG00000186185, ENSG00000080986, ENSG00000154839, ENSG00000161888, ENSG00000101057, ENSG00000088325, ENSG00000101447, ENSG00000175063, ENSG00000093009, ENSG00000100297, ENSG00000075218
GO:0000280	nuclear division	7.20849878767162e-56	2.91064764048605e-52	542	70	ENSG00000142945, ENSG00000143228, ENSG00000118193, ENSG00000117724, ENSG00000134690, ENSG00000117399, ENSG00000085999, ENSG00000066279, ENSG00000117650, ENSG00000169679, ENSG00000121152, ENSG00000144554, ENSG00000163808, ENSG00000129810, ENSG00000109805, ENSG00000138778, ENSG00000145386, ENSG00000071539, ENSG00000158402, ENSG00000134057, ENSG00000164611, ENSG00000040275, ENSG00000112742, ENSG00000237649, ENSG00000203760, ENSG00000112029, ENSG00000011426, ENSG00000196584, ENSG00000136982, ENSG00000184661, ENSG00000168078, ENSG00000090889, ENSG00000003096, ENSG00000138160, ENSG00000138182, ENSG00000119969, ENSG00000122952, ENSG00000170312, ENSG00000148773, ENSG00000121621, ENSG00000146670, ENSG00000122966, ENSG00000111665, ENSG00000135476, ENSG00000139618, ENSG00000165480, ENSG00000126787, ENSG00000137812, ENSG00000156970, ENSG00000051180, ENSG00000104147, ENSG00000137804, ENSG00000157456, ENSG00000162063, ENSG00000127564, ENSG00000166851, ENSG00000177602, ENSG00000129195, ENSG00000178999, ENSG00000076382, ENSG00000094804, ENSG00000131747, ENSG00000186185, ENSG00000080986, ENSG00000154839, ENSG00000161888, ENSG00000101057, ENSG00000088325, ENSG00000101447, ENSG00000175063
GO:0048285	organelle fission	2.99491280093395e-55	1.00773824230092e-51	577	71	ENSG00000142945, ENSG00000143228, ENSG00000118193, ENSG00000117724, ENSG00000134690, ENSG00000117399, ENSG00000085999, ENSG00000066279, ENSG00000117650, ENSG00000169679, ENSG00000121152, ENSG00000144554, ENSG00000163808, ENSG00000129810, ENSG00000109805, ENSG00000138778, ENSG00000145386, ENSG00000071539, ENSG00000158402, ENSG00000134057, ENSG00000164611, ENSG00000040275, ENSG00000112742, ENSG00000237649, ENSG00000203760, ENSG00000112029, ENSG00000011426, ENSG00000196584, ENSG00000136982, ENSG00000184661, ENSG00000168078, ENSG00000090889, ENSG00000003096, ENSG00000138160, ENSG00000138182, ENSG00000119969, ENSG00000122952, ENSG00000170312, ENSG00000148773, ENSG00000121621, ENSG00000146670, ENSG00000122966, ENSG00000111665, ENSG00000135476, ENSG00000139618, ENSG00000165480, ENSG00000126787, ENSG00000137812, ENSG00000156970, ENSG00000051180, ENSG00000104147, ENSG00000137804, ENSG00000157456, ENSG00000162063, ENSG00000127564, ENSG00000166851, ENSG00000177602, ENSG00000129195, ENSG00000178999, ENSG00000076382, ENSG00000094804, ENSG00000131747, ENSG00000186185, ENSG00000080986, ENSG00000154839, ENSG00000161888, ENSG00000101057, ENSG00000088325, ENSG00000101447, ENSG00000175063, ENSG00000242114
GO:0007067	mitotic nuclear division	6.76413933335537e-53	1.95087441430159e-49	409	62	ENSG00000142945, ENSG00000143228, ENSG00000118193, ENSG00000117724, ENSG00000134690, ENSG00000117399, ENSG00000066279, ENSG00000117650, ENSG00000169679, ENSG00000121152, ENSG00000163808, ENSG00000129810, ENSG00000109805, ENSG00000138778, ENSG00000145386, ENSG00000158402, ENSG00000134057, ENSG00000164611, ENSG00000040275, ENSG00000112742, ENSG00000237649, ENSG00000203760, ENSG00000112029, ENSG00000011426, ENSG00000136982, ENSG00000184661, ENSG00000168078, ENSG00000090889, ENSG00000003096, ENSG00000138160, ENSG00000138182, ENSG00000119969, ENSG00000122952, ENSG00000170312, ENSG00000121621, ENSG00000146670, ENSG00000122966, ENSG00000111665, ENSG00000135476, ENSG00000165480, ENSG00000126787, ENSG00000137812, ENSG00000156970, ENSG00000104147, ENSG00000137804, ENSG00000157456, ENSG00000162063, ENSG00000127564, ENSG00000166851, ENSG00000177602, ENSG00000129195, ENSG00000178999, ENSG00000076382, ENSG00000094804, ENSG00000186185, ENSG00000080986, ENSG00000154839, ENSG00000161888, ENSG00000101057, ENSG00000088325, ENSG00000101447, ENSG00000175063
GO:0007059	chromosome segregation	3.81179423322661e-46	9.61953922182651e-43	268	49	ENSG00000142945, ENSG00000143228, ENSG00000118193, ENSG00000117724, ENSG00000134690, ENSG00000117399, ENSG00000117650, ENSG00000169679, ENSG00000123485, ENSG00000121152, ENSG00000163535, ENSG00000144554, ENSG00000129810, ENSG00000109805, ENSG00000138778, ENSG00000071539, ENSG00000134057, ENSG00000164611, ENSG00000040275, ENSG00000112742, ENSG00000237649, ENSG00000203760, ENSG00000112029, ENSG00000171320, ENSG00000136982, ENSG00000184661, ENSG00000138160, ENSG00000122952, ENSG00000121621, ENSG00000146670, ENSG00000122966, ENSG00000135476, ENSG00000139618, ENSG00000165480, ENSG00000126787, ENSG00000137812, ENSG00000156970, ENSG00000137804, ENSG00000166851, ENSG00000177602, ENSG00000178999, ENSG00000076382, ENSG00000094804, ENSG00000131747, ENSG00000186185, ENSG00000080986, ENSG00000154839, ENSG00000101447, ENSG00000175063
GO:0051301	cell division	7.09341848484672e-43	1.591211397673e-39	659	64	ENSG00000142945, ENSG00000143228, ENSG00000118193, ENSG00000117724, ENSG00000134690, ENSG00000117399, ENSG00000097046, ENSG00000066279, ENSG00000117650, ENSG00000169679, ENSG00000121152, ENSG00000163535, ENSG00000129810, ENSG00000109805, ENSG00000138778, ENSG00000145386, ENSG00000158402, ENSG00000134057, ENSG00000164611, ENSG00000040275, ENSG00000112742, ENSG00000237649, ENSG00000203760, ENSG00000112029, ENSG00000011426, ENSG00000184661, ENSG00000175305, ENSG00000090889, ENSG00000003096, ENSG00000138160, ENSG00000138182, ENSG00000119969, ENSG00000122952, ENSG00000170312, ENSG00000138180, ENSG00000146670, ENSG00000122966, ENSG00000111665, ENSG00000135476, ENSG00000139618, ENSG00000165480, ENSG00000126787, ENSG00000137812, ENSG00000156970, ENSG00000197299, ENSG00000104147, ENSG00000137804, ENSG00000157456, ENSG00000198901, ENSG00000162063, ENSG00000127564, ENSG00000166851, ENSG00000129195, ENSG00000178999, ENSG00000076382, ENSG00000094804, ENSG00000131747, ENSG00000186185, ENSG00000080986, ENSG00000154839, ENSG00000161888, ENSG00000088325, ENSG00000101447, ENSG00000175063
GO:0098813	nuclear chromosome segregation	1.17146226645213e-37	2.3650651697402e-34	192	38	ENSG00000142945, ENSG00000118193, ENSG00000117724, ENSG00000134690, ENSG00000117399, ENSG00000117650, ENSG00000169679, ENSG00000121152, ENSG00000144554, ENSG00000129810, ENSG00000109805, ENSG00000138778, ENSG00000071539, ENSG00000134057, ENSG00000164611, ENSG00000040275, ENSG00000112742, ENSG00000237649, ENSG00000112029, ENSG00000136982, ENSG00000122952, ENSG00000121621, ENSG00000146670, ENSG00000122966, ENSG00000135476, ENSG00000139618, ENSG00000126787, ENSG00000137812, ENSG00000156970, ENSG00000137804, ENSG00000166851, ENSG00000177602, ENSG00000178999, ENSG00000076382, ENSG00000131747, ENSG00000186185, ENSG00000080986, ENSG00000175063
