ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
ILMN_1376919	1.53E-18	6.81E-23	-81.681138	41.519226	-5.36222576	Asb2	ankyrin repeat and SOCS box-containing 2
ILMN_1374056	3.71E-18	3.29E-22	-74.199163	40.277202	-4.75468301		
ILMN_1351387	7.47E-18	9.95E-22	-69.360502	39.370699	-5.23435929		
ILMN_1365447	5.45E-17	9.68E-21	-60.368388	37.424031	-3.4778165	Cryab	crystallin, alpha B
ILMN_1369002	1.18E-16	2.63E-20	-56.793322	36.537787	-3.96881971		
ILMN_1359244	7.32E-16	2.26E-19	-49.788943	34.573199	-3.96659799	Atp5a1	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle
ILMN_1362447	7.32E-16	2.28E-19	-49.771825	34.56798	-4.24356663	Med25	mediator complex subunit 25
ILMN_1363936	7.7E-16	3.44E-19	-48.532967	34.184291	-4.18293741	Fem1a	fem-1 homolog A
ILMN_1366783	7.7E-16	3.48E-19	-48.494859	34.172299	-2.77874444	Vps13d	vacuolar protein sorting 13D
ILMN_1368896	7.7E-16	3.58E-19	-48.413801	34.146752	-2.99581042	Fam234a	family with sequence similarity 234, member A
ILMN_1354633	7.7E-16	3.76E-19	-48.266046	34.100051	-3.06271041	Mb	myoglobin
ILMN_1353772	8.04E-16	4.36E-19	47.832794	33.962099	3.7647166		
ILMN_1366452	8.04E-16	4.64E-19	-47.647583	33.902662	-3.98907918	Pkm	pyruvate kinase, muscle
ILMN_1375363	9.58E-16	5.96E-19	46.925274	33.668155	3.21621405		
ILMN_1374332	1.16E-15	7.75E-19	-46.17425	33.419658	-5.05501862	Hspb1	heat shock protein family B (small) member 1
ILMN_2039369	1.18E-15	8.37E-19	45.956985	33.346863	2.26624589		
ILMN_1358023	1.53E-15	1.22E-18	-44.918522	32.993143	-3.42867126	Smtn	smoothelin
