,symbol,ensembl_gene_id,external_gene_name,DMSO.168vDMSO.24_logFC,DMSO.168vDMSO.6_logFC,DMSO.168vDMSO.72_logFC,DMSO.24vDMSO.6_logFC,DMSO.72vDMSO.24_logFC,DMSO.72vDMSO.6_logFC,Erl1.24vDMSO.24_logFC,Erl10.24vDMSO.24_logFC,Erl3.168vDMSO.168_logFC,Erl3.24vDMSO.24_logFC,Erl3.6vDMSO.6_logFC,Erl3.72vDMSO.72_logFC,Lap1.24vDMSO.24_logFC,Lap10.24vDMSO.24_logFC,Lap3.168vDMSO.168_logFC,Lap3.24vDMSO.24_logFC,Lap3.6vDMSO.6_logFC,Lap3.72vDMSO.72_logFC,Sora1.24vDMSO.24_logFC,Sora10.24vDMSO.24_logFC,Sora3.168vDMSO.168_logFC,Sora3.24vDMSO.24_logFC,Sora3.6vDMSO.6_logFC,Sora3.72vDMSO.72_logFC,Sun1.24vDMSO.24_logFC,Sun10.24vDMSO.24_logFC,Sun3.168vDMSO.168_logFC,Sun3.24vDMSO.24_logFC,Sun3.6vDMSO.6_logFC,Sun3.72vDMSO.72_logFC
65,12066,ENSG00000272047,GTF2H5,0.0173418878411156,-0.00659665633585578,0.000170946118774278,-0.0239385441769713,0.0171709417223413,-0.00676760245463006,0.127013007023047,-0.0637914066880973,0.11713246487558698,0.0965717663914393,-0.0863051499030133,-0.0448666240734926,0.20165405582194396,0.020179938259560003,0.16804841974214402,0.207192424581951,-0.056143580862342994,0.118931289582969,0.104270948535391,-1.20025709888586,-0.7400967475584901,0.108075331935003,-0.020961954782111,-0.0215930754427747,0.12536026954683502,-0.0909853409954529,-0.21015050030045498,-0.0321490434748075,-0.28104738506543603,-0.0929561078520981
127,9934,ENSG00000269190,FBXO17,-0.11143338698374301,-0.305287898304455,-0.0773674410572673,-0.19385451132071202,-0.0340659459264757,-0.227920457247188,-0.11553273530277199,0.46600191955169895,0.263554991468955,0.16156863949577402,0.0578843136515811,0.318289365192483,0.292308198902428,0.0336941109657069,-0.00959673818614252,0.309166100607294,0.206391839966114,0.0566846184605509,-0.0133968283962364,1.2678548460466101,0.9386391678010981,0.10297852784990899,0.179693273625469,0.19463349836596,0.339456732762708,0.577537840922504,0.534633020078538,0.5381022740338289,0.290924651588417,0.518568568427945
150,8545,ENSG00000267796,LIN37,-0.27790605509923,-0.39818160978711603,0.30336941417405394,-0.12027555468788599,-0.5812754692732839,-0.70155102396117,-0.506208616703264,-0.32993178634309,-0.6516429121692111,-0.477495184103879,-0.0439171609577001,0.364701575699609,-0.5464018382329021,-0.16877727245634103,-0.3389369989692991,-0.186231610266038,-0.150823739847,-0.36345292326809897,-0.827821373756703,0.465414027074161,0.652443963228262,-0.382212009321971,-0.0656285584084784,0.5077591631615971,-0.7766531277216691,-0.503543080195294,-0.607303954809264,-0.16380185935154,0.17804469006116602,-0.19640814314284302
185,5844,ENSG00000266964,FXYD1,0.375448328220506,0.100148868932586,-0.133586619066914,-0.27529945928792,0.5090349472874199,0.2337354879995,0.318365811584239,0.61989826936724,0.40447191558132595,0.423222878559577,-0.000811675326303167,0.17684836714019897,0.457104579917809,0.239047478555714,0.532678004973896,0.837750825182509,-0.191286561660034,0.22674898094219398,0.268614508781644,-0.918899743237973,-1.16113358178062,-0.6142966937305571,-0.48638444256539703,-0.7884743153768121,0.0111767991366153,-0.5738246257732571,-0.111175076520541,-0.121743923980579,-0.0614012557207589,0.195926722916678
195,1255,ENSG00000266173,STRADA,-0.8912214519571741,-1.16873849681844,-0.199757667290977,-0.277517044861266,-0.6914637846661981,-0.9689808295274641,-0.41628671692489,-0.311203904624518,0.37114176793685794,-0.5143809302782679,-0.42027370374119805,0.5917165114591539,-0.512801766717887,-0.382860090955309,-0.295384499891793,-0.00772920873299815,-0.15005049463841402,-0.33461995895136404,-0.415083802865318,-0.603984032313122,0.5694593849970511,-0.305429315796313,0.00606516508854725,0.6822651210347199,-0.13917222194885098,-0.16442739169413098,0.775388051995304,-0.24062203306835,0.11434430809070001,0.5211771851462911
211,199,ENSG00000264364,DYNLL2,0.46241523474524393,0.420471355573918,0.19190679729579102,-0.0419438791713255,0.27050843744945297,0.22856455827812697,0.0845760483613429,0.201211825936827,0.0798133626917441,0.19748784133706598,0.19174059012693598,0.0878207291390704,0.18557655083839497,0.0821728891406457,0.256772731523478,0.0684213264248063,0.228677313466164,0.18622019238635398,0.10362211040539801,0.255708036662889,-0.4803681640721,0.00220248152030828,-0.0551129073809835,-0.147018983951242,0.0442244196701708,0.366421003302428,0.10560733593261899,0.0361373324907344,0.128325062888831,0.0727898833185615
339,12017,ENSG00000259494,MRPL46,-0.0276640946485755,-0.091411235824948,0.0730730608945079,-0.0637471411763724,-0.100737155543083,-0.164484296719456,0.07591542181800799,-0.0607876398750614,-0.0142614474602357,-0.0046786205719997,-0.0436319105466651,-0.0575129417557852,0.0787693817800369,-0.11161701656281,-0.11117601286566,-0.0774845525293386,-0.159327900135043,0.0713943868622839,-0.199495284536126,-0.307367913148422,-0.0514768643863499,0.0359587905740404,0.0508946615403095,0.0768110180426467,-0.232559597789832,-0.4396273251525611,-0.42565799892516504,-0.317401442161743,-0.20825189869555702,-0.22481728031071696
341,8240,ENSG00000259431,THTPA,-0.17906716636254003,0.173279002388168,-0.0244049965359524,0.35234616875070796,-0.154662169826587,0.19768399892412,-0.104394180855881,-0.209488096044134,0.32132315611165096,-0.188898312380713,0.131241517369901,0.11326074123375099,-0.19998387884476002,-0.191987361659722,-0.000275318818706479,-0.17923346352400998,0.413841775398811,-0.087738585377356,0.0123669212501462,-0.0740674694539598,0.0411759031367946,-0.35326187696768,0.46090176978621505,0.40222248784018605,-0.443136030198733,-0.20687827675281897,0.00875266521753187,-0.11955203090460699,0.546830698122078,-0.0907809022353922
355,2060,ENSG00000258890,CEP95,-0.470501137051854,-0.33031577120766903,-0.0166278530798258,0.140185365844185,-0.453873283972028,-0.313687918127843,-0.48226351941127704,-0.5717157978201479,-0.236707632097344,-0.603439603233848,-0.328608475595011,0.26841606174923105,-0.5273682361637921,-0.558311040612892,-0.297601026917169,-0.5205752754144879,-0.32232163963230603,-0.139899250150125,-0.460071164758479,0.8293041547685909,0.753698317297938,-0.258720720944169,-0.0242685464214933,0.14146117114436801,-0.39213290340576895,-0.27060486449051896,0.265377206455729,-0.15524067044003198,0.11604513911124001,0.225877688994824
389,4956,ENSG00000257218,GATC,-0.202639493986531,-0.16890455764458304,-0.230758220395946,0.0337349363419476,0.0281187264094153,0.061853662751362996,-0.34342102943574504,-0.10354015717859899,0.0940498200332314,-0.22555884111580105,0.121797501971944,-0.192347574713733,-0.0255825007115864,0.00431943992700349,0.0947442790999073,-0.0324929535484966,0.0151444233254253,-0.106928060982733,-0.18871541394051605,-0.18308459814528,-0.0978958258097327,-0.10688983404919197,0.0943475556558667,-0.23060308773847896,0.00298146732544864,0.39884937890378497,0.0316399396051851,-0.12296146512392599,0.19460033507522104,-0.18181056100891102
