,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Cleaned Gene Symbols
23,10905819,0.0003,2.63e-07,-18.2821677,7.6485080000000005,-2.23856627,A4galt,"alpha 1,4-galactosyltransferase",A4GALT
12564,10907585,0.32093,0.138,1.6677296999999998,-5.78616,0.13526968,Aaas,aladin WD repeat nucleoporin,AAAS
1776,10761526,0.009561499999999999,0.000582,-5.8210135,-0.092415,-0.48510633,Aacs,acetoacetyl-CoA synthetase,AACS
21209,10791478,0.6975174,0.506,-0.6990761999999999,-6.8477809999999995,-0.09137846,Aadat,aminoadipate aminotransferase,AADAT
6947,10793467,0.11325589999999999,0.0269,2.7685085,-4.170294,0.23883065,Aaed1,AhpC/TSA antioxidant enzyme domain containing 1,AAED1
13221,10809455,0.3481547,0.158,-1.5768476,-5.90806,-0.19293396,Aagab,alpha- and gamma-adaptin binding protein,AAGAB
10475,10723723,0.23344570000000003,0.0837,2.0055617,-5.310080999999999,0.24157794,Aamdc,"adipogenesis associated, Mth938 domain containing",AAMDC
23646,10928890,0.7997744999999999,0.647,0.4771549,-6.988411,0.03350066,Aamp,"angio-associated, migratory cell protein",AAMP
1481,10841561,0.0070504999999999995,0.00035800000000000003,-6.299509099999999,0.429026,-0.45969526,Aar2,AAR2 splicing factor homolog,AAR2
10867,10926601,0.24898360000000003,0.0926,-1.9375843999999998,-5.408256,-0.15525986,Aars2,"alanyl-tRNA synthetase 2, mitochondrial",AARS2
12789,10914632,0.3309537,0.145,-1.6345356000000002,-5.831046,-0.18626802,Aasdhppt,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,AASDHPPT
212,10861242,0.0009484999999999999,6.94e-06,11.445540199999998,4.5551010000000005,1.3773385,Aass,aminoadipate-semialdehyde synthase,AASS
22387,10740529,0.7493013000000001,0.574,0.5883877,-6.923951,0.09515783,Abat,4-aminobutyrate aminotransferase,ABAT
27010,10876769,0.9264742,0.857,0.1872568,-7.095403,0.01697014,Abca1,ATP binding cassette subfamily A member 1,ABCA1
1995,10834241,0.0114369,0.000781,5.5429567,-0.409652,0.6751887,Abca2,ATP binding cassette subfamily A member 2,ABCA2
16178,10732021,0.4787291,0.265,1.2080833999999998,-6.363868,0.09781521,Abca3,ATP binding cassette subfamily A member 3,ABCA3
18735,10748718,0.5922687,0.38,0.9353748,-6.648271,0.19313146,Abca5,ATP binding cassette subfamily A member 5,ABCA5
4429,10900651,0.0475534,0.007209999999999999,3.7046432,-2.789262,0.34237509,Abca7,ATP binding cassette subfamily A member 7,ABCA7
4587,10811861,0.0505711,0.007940000000000001,3.6330663999999997,-2.8916779999999997,0.39058190000000004,Abcb10,ATP binding cassette subfamily B member 10,ABCB10
14999,10940543,0.42872669999999996,0.22,1.342542,-6.205866,0.10830809,Abcb11,ATP binding cassette subfamily B member 11,ABCB11
5975,10853347,0.0847134,0.0173,3.0731328999999996,-3.7128330000000003,0.38705831,Abcb4,ATP binding cassette subfamily B member 4,ABCB4
12393,10929063,0.313827,0.133,1.6923691000000003,-5.752587,0.17705035,Abcb6,"ATP-binding cassette, subfamily B (MDR/TAP), member 6",ABCB6
3513,10860058,0.0313069,0.0037700000000000003,4.201635700000001,-2.097209,0.40116158,Abcb8,ATP binding cassette subfamily B member 8,ABCB8
8921,10758327,0.1755786,0.0536,2.3036496,-4.8702440000000005,0.15041927,Abcb9,ATP binding cassette subfamily B member 9,ABCB9
21472,10740293,0.7074934,0.52,0.6761196,-6.8645320000000005,0.05615359,Abcc1,ATP binding cassette subfamily C member 1,ABCC1
19455,10921696,0.6244346,0.41600000000000004,0.8630833000000001,-6.714341,0.05884082,Abcc10,ATP binding cassette subfamily C member 10,ABCC10
15050,10785846,0.43242349999999996,0.223,1.3339848,-6.216227,0.17990107,Abcc4,ATP binding cassette subfamily C member 4,ABCC4
25114,10752148,0.8558273999999999,0.736,0.350779,-7.046181,0.03643355,Abcc5,ATP binding cassette subfamily C member 5,ABCC5
27824,10721968,0.9573645000000001,0.912,0.1146538,-7.107760000000001,0.00756925,Abcc6,ATP binding cassette subfamily C member 6,ABCC6
4879,10866724,0.0577649,0.00965,3.4902556000000002,-3.097914,0.53466962,Abcc9,ATP binding cassette subfamily C member 9,ABCC9
904,10935949,0.0037865000000000004,0.000117,7.507227,1.619453,0.67772562,Abcd1,ATP binding cassette subfamily D member 1,ABCD1
588,10906428,0.002169,4.4e-05,8.7146125,2.65428,0.63135894,Abcd2,ATP binding cassette subfamily D member 2,ABCD2
26048,10826474,0.8919101,0.795,-0.269243,-7.074391,-0.02140431,Abcd3,ATP binding cassette subfamily D member 3,ABCD3
27261,10806960,0.9369854,0.8740000000000001,0.1638069,-7.100039,0.02239973,Abce1,ATP binding cassette subfamily E member 1,ABCE1
25902,10827846,0.886474,0.7859999999999999,-0.281798,-7.070519,-0.02654772,Abcf1,ATP binding cassette subfamily F member 1,ABCF1
13168,10852852,0.34559570000000006,0.156,1.5847044,-5.897648,0.11046407,Abcf2,ATP binding cassette subfamily F member 2,ABCF2
196,10755426,0.0008759,5.93e-06,-11.7117487,4.714029,-0.8081679,Abcf3,ATP binding cassette subfamily F member 3,ABCF3
6258,10829082,0.09297910000000001,0.0199,-2.9761439,-3.857946,-0.25151206,Abcg1,ATP binding cassette subfamily G member 1,ABCG1
18426,10916709,0.5800874,0.366,-0.9647136999999999,-6.620269,-0.11975328,Abcg4,ATP binding cassette subfamily G member 4,ABCG4
564,10751018,0.0021118,4.1e-05,-8.8079499,2.728628,-0.90555377,Abhd10,abhydrolase domain containing 10,ABHD10
7019,10761238,0.11512599999999999,0.0277,2.7501976000000004,-4.1979120000000005,0.27516149,Abhd11,abhydrolase domain containing 11,ABHD11
11994,10850668,0.2965977,0.122,1.7529845000000002,-5.669119,0.13957088,Abhd12,abhydrolase domain containing 12,ABHD12
1848,10919912,0.0099814,0.0006320000000000001,5.7422143,-0.181231,0.54992258,Abhd14a,abhydrolase domain containing 14A,ABHD14A
12153,10912845,0.303102,0.126,1.7293569,-5.701797,0.16832875,Abhd14b,abhydrolase domain containing 14b,ABHD14B
6596,10745378,0.1025386,0.0232,-2.8721964,-4.014085,-0.40431915,Abhd15,abhydrolase domain containing 15,ABHD15
2937,10831208,0.022645099999999998,0.00228,4.6074395,-1.558552,0.31412091,Abhd16a,abhydrolase domain containing 16A,ABHD16A
3037,10893768,0.0239003,0.00249,4.535318,-1.652498,0.40997784,Abhd17a,abhydrolase domain containing 17A,ABHD17A
7998,10714348,0.144224,0.0395,-2.5088478,-4.56209,-0.17351669,Abhd17b,abhydrolase domain containing 17B,ABHD17B
23570,10815137,0.7974111999999999,0.643,-0.48304129999999995,-6.985314,-0.11138937,Abhd18,abhydrolase domain containing 18,ABHD18
8251,10708053,0.1531329,0.0433,-2.447767,-4.654074,-0.21758385,Abhd2,abhydrolase domain containing 2,ABHD2
3432,10803207,0.029722500000000002,0.00349,4.2611856,-2.016641,0.44538634,Abhd3,abhydrolase domain containing 3,ABHD3
1954,10780179,0.0112282,0.000752,5.5786213,-0.36835999999999997,0.38389674,Abhd4,abhydrolase domain containing 4,ABHD4
12705,10914066,0.3268824,0.142,1.6475011999999998,-5.813562,0.13575056,Abhd5,abhydrolase domain containing 5,ABHD5
917,10782695,0.0038399999999999997,0.000121,-7.4732617,1.588236,-0.69451523,Abhd6,abhydrolase domain containing 6,ABHD6
10417,10790774,0.23129899999999998,0.0825,-2.0154734,-5.295685,-0.19943538,Abhd8,abhydrolase domain containing 8,ABHD8
13629,10799989,0.3666947,0.171,-1.5198966999999999,-5.982766000000001,-0.16926074,Abi1,abl-interactor 1,ABI1
14062,10923782,0.38452800000000004,0.185,1.464984,-6.053458999999999,0.11193021,Abi2,abl-interactor 2,ABI2
1511,10764852,0.0073248,0.000379,-6.2409454,0.366819,-0.44342803,Abl2,"ABL proto-oncogene 2, non-receptor tyrosine kinase",ABL2
2228,10731047,0.013464799999999999,0.00103,-5.2933484,-0.703701,-0.77438377,Ablim1,actin-binding LIM protein 1,ABLIM1
11542,10777468,0.2764185,0.109,-1.8267254000000002,-5.5660300000000005,-0.38725406,Ablim2,"actin binding LIM protein family, member 2",ABLIM2
4542,10736520,0.049851599999999996,0.00775,-3.6509412000000006,-2.866041,-0.30393427,Abr,active BCR-related,ABR
583,10903524,0.002169,4.34e-05,-8.7331907,2.669139,-0.59790457,Abra,actin-binding Rho activating protein,ABRA
2727,10795253,0.0197095,0.0018399999999999998,-4.785253900000001,-1.3302450000000001,-0.30920948,Abt1,activator of basal transcription 1,ABT1
19189,10863926,0.6120572,0.402,0.8902485000000001,-6.690011,0.10993889,Abtb1,ankyrin repeat and BTB domain containing 1,ABTB1
11817,10802691,0.2879452,0.11599999999999999,1.7831797999999999,-5.627102,0.28457408,Acaa2,acetyl-CoA acyltransferase 2,ACAA2
10805,10762792,0.2468995,0.0913,-1.9471702000000002,-5.3944730000000005,-0.46237387,Acacb,acetyl-CoA carboxylase beta,ACACB
7631,10758658,0.13217089999999998,0.0345,2.5996801,-4.425083,0.41645419,Acad10,"acyl-CoA dehydrogenase family, member 10",ACAD10
1525,10814894,0.007472399999999999,0.00039,6.2116633000000006,0.335549,0.57236947,Acad9,"acyl-CoA dehydrogenase family, member 9",ACAD9
6148,10827454,0.0893293,0.0188,3.0162251,-3.7979019999999997,0.44848383,Acadm,"acyl-CoA dehydrogenase, C-4 to C-12 straight chain",ACADM
6990,10759034,0.11428410000000001,0.0274,2.7580296000000004,-4.186098,0.41420929,Acads,"acyl-CoA dehydrogenase, C-2 to C-3 short chain",ACADS
