,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Cleaned Gene Symbols
17431,ILMN_2529168,1.0,0.4013202,-0.879,-5.301,-0.266,A4galt,"alpha 1,4-galactosyltransferase",A4GALT
2073,ILMN_2600198,1.0,0.0614925,-2.12,-3.9117,-0.71,Aaas,"achalasia, adrenocortical insufficiency, alacrimia",AAAS
12128,ILMN_1253601,1.0,0.2722678,-1.17,-5.0469,-0.213,Aacs,acetoacetyl-CoA synthetase,AACS
17589,ILMN_2594302,1.0,0.543555,0.642,-5.3073,0.43,Aadat,aminoadipate aminotransferase,AADAT
25716,ILMN_2647669,1.0,0.6492031,0.47,-5.5552,0.165,Aaed1,AhpC/TSA antioxidant enzyme domain containing 1,AAED1
19934,ILMN_1227353,1.0,0.4714049,0.7509999999999999,-5.3956,0.314,Aagab,alpha- and gamma-adaptin binding protein,AAGAB
26330,ILMN_2896944,1.0,0.6662637,-0.445,-5.566,-0.0662,Aamdc,adipogenesis associated Mth938 domain containing,AAMDC
21585,ILMN_1234981,1.0,0.5208981,-0.667,-5.4501,-0.088,Aamp,angio-associated migratory protein,AAMP
9409,ILMN_2601546,1.0,0.2288065,1.3,-4.8725,0.636,Aar2,AAR2 splicing factor homolog,AAR2
25690,ILMN_2876302,1.0,0.6485399000000001,-0.47100000000000003,-5.5548,-0.0788,Aars2,"alanyl-tRNA synthetase 2, mitochondrial",AARS2
8369,ILMN_2644455,1.0,0.3310441,-1.13,-4.7786,-1.36,Aasdhppt,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,AASDHPPT
13778,ILMN_2657685,1.0,0.8961790000000001,0.145,-5.1318,0.0928,Aass,aminoadipate-semialdehyde synthase,AASS
13766,ILMN_1248367,1.0,0.3081947,-1.08,-5.1313,-0.184,Abat,4-aminobutyrate aminotransferase,ABAT
37310,ILMN_1226851,,,,,,Abca1,"ATP-binding cassette, sub-family A (ABC1), member 1",ABCA1
26822,ILMN_1216987,1.0,0.6829312,0.42100000000000004,-5.5758,0.0971,Abca2,"ATP-binding cassette, sub-family A (ABC1), member 2",ABCA2
6027,ILMN_1243488,1.0,0.1805852,1.54,-4.5038,1.5,Abca3,"ATP-binding cassette, sub-family A (ABC1), member 3",ABCA3
1042,ILMN_2998335,1.0,0.0460092,2.77,-3.5108,0.8270000000000001,Abca5,"ATP-binding cassette, sub-family A (ABC1), member 5",ABCA5
13041,ILMN_2716039,1.0,0.7803131999999999,-0.312,-5.0967,-0.126,Abca7,"ATP-binding cassette, sub-family A (ABC1), member 7",ABCA7
7280,ILMN_3142789,1.0,0.432204,1.09,-4.6646,0.667,Abcb10,"ATP-binding cassette, sub-family B (MDR/TAP), member 10",ABCB10
12955,ILMN_2758509,1.0,0.6770071999999999,0.455,-5.0924,0.37799999999999995,Abcb11,"ATP-binding cassette, sub-family B (MDR/TAP), member 11",ABCB11
26856,ILMN_2648742,1.0,0.6839360999999999,-0.42,-5.5764,-0.0581,Abcb4,"ATP-binding cassette, sub-family B (MDR/TAP), member 4",ABCB4
17698,ILMN_2833596,1.0,0.4085242,-0.865,-5.3118,-0.17300000000000001,Abcb6,"ATP-binding cassette, sub-family B (MDR/TAP), member 6",ABCB6
22787,ILMN_1242482,1.0,0.5581371,-0.607,-5.4855,-0.134,Abcb8,"ATP-binding cassette, sub-family B (MDR/TAP), member 8",ABCB8
8516,ILMN_2597249,1.0,0.19131729999999997,-1.41,-4.7942,-0.24100000000000002,Abcb9,"ATP-binding cassette, sub-family B (MDR/TAP), member 9",ABCB9
16237,ILMN_1227844,1.0,0.40027209999999996,0.8859999999999999,-5.2471,0.634,Abcc1,"ATP-binding cassette, sub-family C (CFTR/MRP), member 1",ABCC1
1653,ILMN_2660048,1.0,0.053891800000000004,-3.61,-3.7537,-1.48,Abcc10,"ATP-binding cassette, sub-family C (CFTR/MRP), member 10",ABCC10
25796,ILMN_2621708,1.0,0.6512757,-0.467,-5.5566,-0.0863,Abcc4,"ATP-binding cassette, sub-family C (CFTR/MRP), member 4",ABCC4
16982,ILMN_2702171,1.0,0.9313725,0.0927,-5.281000000000001,0.155,Abcc5,"ATP-binding cassette, sub-family C (CFTR/MRP), member 5",ABCC5
22680,ILMN_2934941,1.0,0.6918866,0.41200000000000003,-5.483,0.374,Abcc6,"ATP-binding cassette, sub-family C (CFTR/MRP), member 6",ABCC6
11182,ILMN_1253491,1.0,0.7756232,-0.34600000000000003,-4.9923,-0.212,Abcc9,"ATP-binding cassette, sub-family C (CFTR/MRP), member 9",ABCC9
15970,ILMN_1245447,1.0,0.3600879,-0.9620000000000001,-5.2332,-0.146,Abcd1,"ATP-binding cassette, sub-family D (ALD), member 1",ABCD1
25097,ILMN_1245831,1.0,0.6291326999999999,-0.499,-5.5417,-0.29600000000000004,Abcd2,"ATP-binding cassette, sub-family D (ALD), member 2",ABCD2
19403,ILMN_2925281,1.0,0.4558710999999999,-0.778,-5.3766,-0.147,Abcd3,"ATP-binding cassette, sub-family D (ALD), member 3",ABCD3
35409,ILMN_2982652,1.0,0.9740377,0.0334,-5.6610000000000005,0.018,Abce1,"ATP-binding cassette, sub-family E (OABP), member 1",ABCE1
20989,ILMN_2693594,1.0,0.5045828,-0.6940000000000001,-5.4331,-0.129,Abcf1,"ATP-binding cassette, sub-family F (GCN20), member 1",ABCF1
29841,ILMN_1249522,1.0,0.7816091,0.285,-5.622000000000001,0.0549,Abcf2,"ATP-binding cassette, sub-family F (GCN20), member 2",ABCF2
20071,ILMN_2432092,1.0,0.4755298,0.743,-5.4005,0.649,Abcf3,"ATP-binding cassette, sub-family F (GCN20), member 3",ABCF3
28329,ILMN_2441335,1.0,0.7345483,0.349,-5.6024,0.282,Abcg1,"ATP-binding cassette, sub-family G (WHITE), member 1",ABCG1
10400,ILMN_1225587,1.0,0.3265787,1.08,-4.9426,1.17,Abcg4,"ATP-binding cassette, sub-family G (WHITE), member 4",ABCG4
19154,ILMN_1231518,1.0,0.44852759999999997,0.7909999999999999,-5.3672,0.32799999999999996,Abhd10,abhydrolase domain containing 10,ABHD10
30836,ILMN_2453209,1.0,0.8173778,0.23800000000000002,-5.6341,0.0323,Abhd11,abhydrolase domain containing 11,ABHD11
19712,ILMN_1247361,1.0,0.5120610999999999,-0.685,-5.388999999999999,-0.456,Abhd12,abhydrolase domain containing 12,ABHD12
16444,ILMN_2773286,1.0,0.37434850000000003,-0.9329999999999999,-5.2578,-0.172,Abhd14a,abhydrolase domain containing 14A,ABHD14A
21224,ILMN_2774244,1.0,0.5110388,0.6829999999999999,-5.44,0.0997,Abhd14b,abhydrolase domain containing 14b,ABHD14B
37925,ILMN_1234692,,,,,,Abhd15,abhydrolase domain containing 15,ABHD15
31315,ILMN_2731523,1.0,0.8357608,0.213,-5.6394,0.0259,Abhd16a,abhydrolase domain containing 16A,ABHD16A
31448,ILMN_3163027,1.0,0.8404639000000002,0.207,-5.6407,0.0288,Abhd17a,abhydrolase domain containing 17A,ABHD17A
30541,ILMN_2734234,1.0,0.8069456,-0.251,-5.6308,-0.0458,Abhd17b,abhydrolase domain containing 17B,ABHD17B
16385,ILMN_1259606,1.0,0.3724453,0.937,-5.2546,0.302,Abhd18,abhydrolase domain containing 18,ABHD18
11632,ILMN_2877443,1.0,0.2622593,1.19,-5.0208,0.75,Abhd2,abhydrolase domain containing 2,ABHD2
27068,ILMN_2677728,1.0,0.6915648,-0.409,-5.5806,-0.0779,Abhd3,abhydrolase domain containing 3,ABHD3
33587,ILMN_2713464,1.0,0.9119225000000001,0.114,-5.6553,0.0238,Abhd4,abhydrolase domain containing 4,ABHD4
35641,ILMN_2739295,1.0,0.9814764000000001,0.0238,-5.6613,0.0033299999999999996,Abhd5,abhydrolase domain containing 5,ABHD5
10760,ILMN_2762772,1.0,0.2804612,-1.16,-4.9667,-1.32,Abhd6,abhydrolase domain containing 6,ABHD6
1597,ILMN_3002505,1.0,0.0493256,-2.26,-3.7341,-0.312,Abhd8,abhydrolase domain containing 8,ABHD8
11957,ILMN_3094886,1.0,0.26930570000000004,1.17,-5.0393,0.418,Abi1,abl-interactor 1,ABI1
1979,ILMN_1225113,1.0,0.07509400000000001,2.33,-3.8787,1.24,Abi2,abl-interactor 2,ABI2
721,ILMN_2698137,1.0,0.0228865,-3.99,-3.3427,-2.9,Abl2,"v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene)",ABL2
3708,ILMN_2648841,1.0,0.1434854,-2.16,-4.162,-3.97,Ablim1,actin-binding LIM protein 1,ABLIM1
6016,ILMN_1250869,1.0,0.2624322,-1.47,-4.5021,-0.762,Ablim2,actin-binding LIM protein 2,ABLIM2
4189,ILMN_2605311,1.0,0.13232339999999998,1.85,-4.228,0.9890000000000001,Abr,active BCR-related gene,ABR
32794,ILMN_2732401,1.0,0.8859456,-0.147,-5.651,-0.033,Abra,actin-binding Rho activating protein,ABRA
16703,ILMN_2754859,1.0,0.38084429999999997,0.92,-5.2686,0.496,Abt1,activator of basal transcription 1,ABT1
27648,ILMN_2699477,1.0,0.7113086999999999,-0.382,-5.5911,-0.0625,Abtb1,ankyrin repeat and BTB (POZ) domain containing 1,ABTB1
18902,ILMN_2704823,1.0,0.44010550000000004,0.8059999999999999,-5.3562,0.12,Acaa2,acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase),ACAA2
30167,ILMN_2421890,1.0,0.7923103,-0.271,-5.6259,-0.0371,Acacb,acetyl-Coenzyme A carboxylase beta,ACACB
5995,ILMN_2739219,1.0,0.21862979999999999,-1.51,-4.4992,-1.66,Acad10,"acyl-Coenzyme A dehydrogenase family, member 10",ACAD10
19258,ILMN_1253361,1.0,0.45187829999999996,-0.785,-5.3715,-0.12,Acad9,"acyl-Coenzyme A dehydrogenase family, member 9",ACAD9
33279,ILMN_2810473,1.0,0.901739,0.127,-5.6537,0.0148,Acadm,"acyl-Coenzyme A dehydrogenase, medium chain",ACADM
33493,ILMN_2806676,1.0,0.9085684000000002,0.11800000000000001,-5.6548,0.0161,Acads,"acyl-Coenzyme A dehydrogenase, short chain",ACADS
32536,ILMN_2614728,1.0,0.8780589,0.158,-5.6494,0.0687,Acadsb,"acyl-Coenzyme A dehydrogenase, short/branched chain",ACADSB
28698,ILMN_2956932,1.0,0.7458213,0.33399999999999996,-5.6075,0.0383,Acadvl,"acyl-Coenzyme A dehydrogenase, very long chain",ACADVL
27301,ILMN_2962083,1.0,0.6988631999999999,-0.39899999999999997,-5.5846,-0.0748,Acap3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",ACAP3
28288,ILMN_2643977,1.0,0.7329467,-0.35200000000000004,-5.6017,-0.0679,Acat1,acetyl-Coenzyme A acetyltransferase 1,ACAT1
13597,ILMN_1253008,1.0,0.3051841,1.08,-5.1247,0.309,Acat2,acetyl-Coenzyme A acetyltransferase 2,ACAT2
28871,ILMN_1235783,1.0,0.7497009,0.32899999999999996,-5.6092,0.0434,Acbd3,acyl-Coenzyme A binding domain containing 3,ACBD3
1225,ILMN_3071515,1.0,0.0290177,4.82,-3.5897,1.94,Acbd4,acyl-Coenzyme A binding domain containing 4,ACBD4
23911,ILMN_1213445,1.0,0.5905674,-0.557,-5.5129,-0.23800000000000002,Acbd5,acyl-Coenzyme A binding domain containing 5,ACBD5
2712,ILMN_1259447,1.0,0.07181010000000002,2.03,-4.0359,0.909,Acbd6,acyl-Coenzyme A binding domain containing 6,ACBD6
454,ILMN_1219304,1.0,0.014802500000000001,4.63,-3.0176,1.44,Acd,adrenocortical dysplasia,ACD
17742,ILMN_2629112,1.0,0.41006450000000005,0.862,-5.3141,0.29600000000000004,Acer2,alkaline ceramidase 2,ACER2
2819,ILMN_2770667,1.0,0.0729272,2.02,-4.0482,0.7509999999999999,Acin1,apoptotic chromatin condensation inducer 1,ACIN1
28162,ILMN_2650557,1.0,0.7288889000000001,0.35700000000000004,-5.5998,0.0802,Ackr2,atypical chemokine receptor 2,ACKR2
6255,ILMN_2687561,1.0,0.1358836,-1.63,-4.5365,-0.441,Ackr3,atypical chemokine receptor 3,ACKR3
35250,ILMN_1240770,1.0,0.9689087,0.04,-5.6608,0.00507,Acly,ATP citrate lyase,ACLY
22662,ILMN_1216382,1.0,0.5546585999999999,0.613,-5.4824,0.168,Aco1,aconitase 1,ACO1
20607,ILMN_1229441,1.0,0.49390920000000005,-0.7120000000000001,-5.4215,-0.348,Aco2,"aconitase 2, mitochondrial",ACO2
3311,ILMN_2768647,1.0,0.10549449999999999,3.97,-4.1096,2.43,Acot1,acyl-CoA thioesterase 1,ACOT1
32180,ILMN_2961626,1.0,0.8666988000000001,0.17300000000000001,-5.6471,0.0193,Acot13,acyl-CoA thioesterase 13,ACOT13
14315,ILMN_2840492,1.0,0.3170682,-1.06,-5.1502,-0.294,Acot2,acyl-CoA thioesterase 2,ACOT2
16573,ILMN_2606180,1.0,0.37773850000000003,-0.9259999999999999,-5.2634,-0.222,Acot7,acyl-CoA thioesterase 7,ACOT7
13239,ILMN_1250358,1.0,0.29743590000000003,1.1,-5.1074,0.65,Acot8,acyl-CoA thioesterase 8,ACOT8
32375,ILMN_2750225,1.0,0.8727075999999999,0.165,-5.6483,0.0409,Acot9,acyl-CoA thioesterase 9,ACOT9
29649,ILMN_1252618,1.0,0.7749199999999999,-0.294,-5.6195,-0.13,Acox2,"acyl-Coenzyme A oxidase 2, branched chain",ACOX2
7066,ILMN_1254761,1.0,0.32970679999999997,-1.22,-4.6407,-1.5,Acox3,"acyl-Coenzyme A oxidase 3, pristanoyl",ACOX3
8454,ILMN_1216089,1.0,0.41952870000000003,-0.973,-4.7867,-1.92,Acp1,"acid phosphatase 1, soluble",ACP1
11960,ILMN_2887075,1.0,0.2693345,-1.17,-5.0394,-0.158,Acp2,"acid phosphatase 2, lysosomal",ACP2
29281,ILMN_1242352,1.0,0.7613054,-0.313,-5.6141,-0.0441,Acp6,"acid phosphatase 6, lysophosphatidic",ACP6
16317,ILMN_2675674,1.0,0.3705175,-0.941,-5.2513,-0.27699999999999997,Acsf2,acyl-CoA synthetase family member 2,ACSF2
20419,ILMN_2622671,1.0,0.48718059999999996,-0.723,-5.414,-0.16399999999999998,Acsl1,acyl-CoA synthetase long-chain family member 1,ACSL1
1443,ILMN_2696375,1.0,0.0418727,4.07,-3.679,2.3,Acsl4,acyl-CoA synthetase long-chain family member 4,ACSL4
2290,ILMN_1231116,1.0,0.0851402,-2.11,-3.9733,-1.63,Acss2,acyl-CoA synthetase short-chain family member 2,ACSS2
13738,ILMN_1236250,1.0,0.8871296000000001,0.158,-5.13,0.315,Acss3,acyl-CoA synthetase short-chain family member 3,ACSS3
11823,ILMN_2738825,1.0,0.2666361,-1.18,-5.0324,-0.516,Acta1,"actin, alpha 1, skeletal muscle",ACTA1
9307,ILMN_1237242,1.0,0.3060521,1.13,-4.8649,2.18,Acta2,"actin, alpha 2, smooth muscle, aorta",ACTA2
27420,ILMN_2647102,1.0,0.7024544,-0.39399999999999996,-5.5865,-0.0679,Actl6a,actin-like 6A,ACTL6A
26682,ILMN_2844996,1.0,0.6778813,-0.429,-5.5729,-0.0652,Actn1,"actinin, alpha 1",ACTN1
13732,ILMN_1258081,1.0,0.30755609999999994,-1.08,-5.1299,-0.514,Actn2,actinin alpha 2,ACTN2
1986,ILMN_2747543,1.0,0.0803069,-2.27,-3.8807,-0.9390000000000001,Actn3,actinin alpha 3,ACTN3
9584,ILMN_2672767,1.0,0.2170264,1.32,-4.8863,0.23199999999999998,Actn4,actinin alpha 4,ACTN4
19581,ILMN_2703354,1.0,0.5850653,-0.5710000000000001,-5.3839999999999995,-0.767,Actr10,ARP10 actin-related protein 10,ACTR10
30131,ILMN_2728697,1.0,0.7911961,0.272,-5.6255,0.036,Actr1a,"ARP1 actin-related protein 1A, centractin alpha",ACTR1A
23038,ILMN_3161327,1.0,0.5654404000000001,-0.596,-5.4919,-0.0797,Actr1b,"ARP1 actin-related protein 1B, centractin beta",ACTR1B
29391,ILMN_1255907,1.0,0.7649499,-0.308,-5.6156,-0.11699999999999999,Actr2,ARP2 actin-related protein 2,ACTR2
16858,ILMN_1247625,1.0,0.3848127,0.912,-5.275,0.3,Actr3b,ARP3 actin-related protein 3B,ACTR3B
19366,ILMN_1225620,1.0,0.45464499999999997,-0.78,-5.375,-0.466,Actr5,ARP5 actin-related protein 5,ACTR5
3325,ILMN_2593338,1.0,0.0837169,-1.96,-4.111000000000001,-1.54,Actr6,ARP6 actin-related protein 6,ACTR6
31107,ILMN_2660103,1.0,0.8281615,-0.223,-5.6373,-0.0386,Acvr1,"activin A receptor, type 1",ACVR1
2304,ILMN_2563120,1.0,0.09735339999999999,-2.68,-3.9771,-1.71,Acvr2a,activin receptor IIA,ACVR2A
31514,ILMN_1230145,1.0,0.8427135,-0.204,-5.6413,-0.031,Acvr2b,activin receptor IIB,ACVR2B
3672,ILMN_2577567,1.0,0.1425514,-2.17,-4.1586,-1.71,Acyp1,"acylphosphatase 1, erythrocyte (common) type",ACYP1
9023,ILMN_2686132,1.0,0.28164240000000007,-1.2,-4.8428,-0.9129999999999999,Ada,adenosine deaminase,ADA
9597,ILMN_1248376,1.0,0.2173592,1.32,-4.8874,0.992,Adal,adenosine deaminase-like,ADAL
714,ILMN_2812954,1.0,0.0329048,-2.62,-3.3360000000000003,-2.44,Adam11,a disintegrin and metallopeptidase domain 11,ADAM11
2165,ILMN_1239236,1.0,0.08777489999999999,2.19,-3.9418,1.17,Adam15,a disintegrin and metallopeptidase domain 15 (metargidin),ADAM15
22942,ILMN_2594718,1.0,0.5627838000000001,-0.6,-5.4896,-0.0891,Adam17,a disintegrin and metallopeptidase domain 17,ADAM17
12263,ILMN_1218345,1.0,0.4127483,-0.888,-5.053,-1.48,Adam23,a disintegrin and metallopeptidase domain 23,ADAM23
20261,ILMN_2649346,1.0,0.5305698,0.654,-5.4077,0.187,Adam32,a disintegrin and metallopeptidase domain 32,ADAM32
30005,ILMN_2649502,1.0,0.7866472,0.27899999999999997,-5.6239,0.147,Adam9,a disintegrin and metallopeptidase domain 9 (meltrin gamma),ADAM9
7274,ILMN_1238495,1.0,0.2784816,1.29,-4.6633,3.06,Adamts1,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1",ADAMTS1
